n_updates,num_timesteps,policy_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,log_std_mean,advantage_mean,advantage_std,advantage_min,advantage_max,return_mean,return_std,actor_grad_norm_mean,critic_grad_norm_mean,actor_param_update_norm,critic_param_update_norm,frac_sampled_action_clipped,frac_sampled_action_near_bound,log_std_bid,log_std_ask,action_std_bid,action_std_ask,learning_rate,total_loss
10,4000,-0.0030686460672295635,58.416795349121095,0.1703093333542347,0.004463511519134045,0.02087500006891787,0.0015736818313598633,0.22128239274024963,2.921236753463745,7.400665283203125,-46.1751594543457,45.65830612182617,2.9340479373931885,7.406495094299316,0.6612671080328554,5.015064535928627,0.08935795724391937,1.6165165901184082,0.0,0.00025,-1.5024734735488892,-1.51419198513031,0.22257892787456512,0.21998585760593414,0.0003,28.99432945251465
20,8000,-0.002154256967478432,49.079105911254885,0.18485470339655877,0.005589678883552551,0.03452499992214143,0.0154496431350708,0.21978557109832764,1.7065815925598145,7.001952648162842,-47.31988525390625,33.785396575927734,4.181734085083008,7.056676387786865,0.630899579523214,3.365691468766973,0.13190720975399017,1.4153763055801392,0.0,0.00025,-1.5008573532104492,-1.5295543670654297,0.2229389250278473,0.2166321724653244,0.0003,22.400184631347656
30,12000,-0.0006569250708696917,80.78736938476563,0.19895801573991775,0.0029807330574840307,0.004099999936297536,0.036056578159332275,0.21787886321544647,1.9508659839630127,9.0009765625,-50.55666732788086,45.25718307495117,6.187994003295898,9.16777229309082,0.6587337346123822,5.605304067745712,0.08858125656843185,1.330743432044983,0.0,0.0,-1.5094714164733887,-1.5383694171905518,0.22102676331996918,0.21473094820976257,0.0003,46.00679397583008
40,16000,-0.0009149554969484619,54.91414627075196,0.21087492644786834,0.0030065521132200956,0.0106749999942258,0.1271071434020996,0.21780723333358765,1.8573987483978271,7.447014331817627,-49.3391227722168,40.022300720214844,7.909817218780518,7.970796585083008,0.6099478965434499,6.4334122875723825,0.09661173075437546,1.235048770904541,0.000125,0.0005,-1.5110477209091187,-1.5374157428741455,0.22067862749099731,0.21493585407733917,0.0003,22.650279998779297
50,20000,-0.001843442641340518,79.59029144287109,0.21289046436548234,0.0031881399918347597,0.013449999932199717,0.07347124814987183,0.21696200966835022,2.7362208366394043,8.862954139709473,-35.38294982910156,73.68406677246094,10.403264045715332,9.20765495300293,0.6368431289342058,9.951886931483076,0.0813818946480751,0.8859948515892029,0.0,0.0,-1.5192270278930664,-1.5369172096252441,0.2188810259103775,0.21504302322864532,0.0003,45.48329162597656
60,24000,-0.0009118916796211129,55.12671287536621,0.2196635191142559,0.003118098247796297,0.008625000044703483,0.15680384635925293,0.21654056012630463,2.2484750747680664,7.356661796569824,-31.831682205200195,55.87091827392578,12.784143447875977,8.01154899597168,0.6096923276650932,8.19742786607325,0.07368826866149902,0.6509987711906433,0.0,0.0,-1.5232534408569336,-1.536746859550476,0.21800146996974945,0.2150796502828598,0.0003,20.304494857788086
70,28000,-0.0009356141049858735,65.30206958770752,0.21935625329613687,0.0032318965531885624,0.011999999955296516,0.19960945844650269,0.21704672276973724,0.13974767923355103,8.226568222045898,-44.59929275512695,28.06903839111328,12.789752006530762,9.195338249206543,0.5538961090209679,6.273490699608114,0.09060455858707428,0.9046640396118164,0.0,0.0,-1.523639440536499,-1.531661868095398,0.217917338013649,0.2161761075258255,0.0003,34.47604751586914
80,32000,-0.002082742480038724,39.52059505462646,0.22510261371731757,0.004345218650996685,0.01944999983534217,0.3780081868171692,0.2151268720626831,0.1383022516965866,6.410525321960449,-30.64582633972168,27.46745491027832,12.946175575256348,8.128329277038574,0.6331778251500357,5.189670596760609,0.11638978123664856,0.7607214450836182,0.0,0.0,-1.5352282524108887,-1.5378280878067017,0.21540652215480804,0.21484720706939697,0.0003,20.862539291381836
90,36000,-0.00242525511769345,77.4665663909912,0.23649727940559387,0.003890585619956255,0.022900000009685756,0.31362003087997437,0.21486464142799377,0.6449615359306335,8.85029125213623,-57.09455490112305,49.273109436035156,13.430335998535156,10.682558059692383,0.5946379073452652,7.2573154111854885,0.09233978390693665,0.5536724328994751,0.0,0.0,-1.54056978225708,-1.534932255744934,0.21425896883010864,0.2154702991247177,0.0003,32.38239669799805
100,40000,-0.0007049349400243976,51.25882736206054,0.24290102511644363,0.0031387978233397007,0.011875000004656612,0.4542430639266968,0.2137598991394043,0.1734090894460678,7.211981773376465,-39.192447662353516,40.64580535888672,13.956021308898926,9.76236343383789,0.6350624583597603,5.978094694690451,0.09211964160203934,0.45822155475616455,0.0,0.0,-1.5507550239562988,-1.5351098775863647,0.21208778023719788,0.21543201804161072,0.0003,27.129262924194336
110,44000,-0.00011920551962684822,49.343897399902346,0.25076576083898544,0.0023062112741172314,0.012349999989382923,0.42626190185546875,0.2131238579750061,0.6996880173683167,7.038946151733398,-45.32029724121094,66.95140838623047,14.681923866271973,9.292890548706055,0.6441003717769469,5.4714746537156795,0.054738227277994156,0.5423505306243896,0.0,0.0,-1.5540802478790283,-1.537750005722046,0.21138371527194977,0.21486398577690125,0.0003,31.72926902770996
120,48000,-0.0012676863810393124,60.895595970153806,0.2571874251961708,0.002484526252374053,0.009199999999254941,0.40630102157592773,0.21224276721477509,0.7578656077384949,7.872498512268066,-42.99406433105469,47.55029296875,15.195663452148438,10.217142105102539,0.5756473609592412,8.146736266167101,0.05279640853404999,0.6621034145355225,0.0,0.0,-1.5609886646270752,-1.5391793251037598,0.20992840826511383,0.21455711126327515,0.0003,31.12998390197754
