agent_type,training_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective
oracle,,130000,-20.21500152659428,-20.521479026594278,54.95551770653574,18.917395069084854,0.20647749999999923,0.1,3.70675,10.0,2.18175,10.0,10.0,52.0,-0.2696139370390841,-0.2801924075323252,0.11423291510765789,0.09710843015266434,2.226129528629611,4000,5.790923296444817e-13,exogenous_paired_fills_not_claimed_paired,,,,-0.3887500293575823,True,True,5200.0,analytic,,,
oracle,,130001,65.19342778801752,65.10298778801751,69.70827089917697,14.65249422286811,0.06544000000000165,0.025,2.085,5.0,0.207,-5.0,5.0,79.0,-0.36870561743226393,-0.37588116526161036,0.16590329732285183,0.15638719949442806,1.927130506477853,4000,3.552713678800501e-13,exogenous_paired_fills_not_claimed_paired,,,,0.8252332631394622,False,False,7900.0,analytic,,,
oracle,,130002,-12.98484363695782,-13.116238636957817,57.44149347315312,12.635419165749267,0.13039499999999907,0.001,2.585,8.0,2.2105,-1.0,1.0,65.0,-0.3451336348272599,-0.3638675693228905,0.14926531977692395,0.16613183836390066,1.981756388264751,4000,3.2507330161024584e-13,exogenous_paired_fills_not_claimed_paired,,,,-0.19976682518396643,True,True,6500.0,analytic,,,
oracle,,130003,49.083197321602654,48.97850232160266,67.72821496990227,28.59087732204944,0.09569499999999492,0.009000000000000001,2.5635,7.0,1.234,-3.0,3.0,67.0,-0.2752051988681994,-0.29501038195366114,0.1191832863581756,0.11377021309135087,2.194800193196489,4000,1.9184653865522705e-13,exogenous_paired_fills_not_claimed_paired,,,,0.7325850346507858,False,False,6700.0,analytic,,,
oracle,,130004,64.08819307763468,64.04635557763469,70.03288455508215,23.665515679108946,0.040837500000000054,0.001,1.55675,5.0,0.62475,1.0,1.0,69.0,-0.3214423896545594,-0.32281452985956666,0.14255021261139675,0.1442273748089074,2.0811425380377333,4000,9.379164112033322e-13,exogenous_paired_fills_not_claimed_paired,,,,0.9288143924294883,False,False,6900.0,analytic,,,
oracle,,130005,-4.722651672666032,-4.792406672666034,66.21076412215248,21.468438645352634,0.06875500000000109,0.001,2.1305,6.0,1.3485,-1.0,1.0,61.0,-0.24453104709803722,-0.2670530416144458,0.07587158278610208,0.07939917668847112,2.284802859670523,4000,8.339995360984176e-13,exogenous_paired_fills_not_claimed_paired,,,,-0.07742051922403331,True,True,6100.0,analytic,,,
oracle,,130006,-5.664135657664019,-6.019155657664023,61.59437614835298,20.35967399943072,0.31902000000000486,0.036000000000000004,5.052,10.0,5.052,6.0,6.0,56.0,-0.22137881533038983,-0.2789168832108963,0.07032984506464048,0.06314630137391863,2.302131178958589,4000,1.687538997430238e-14,exogenous_paired_fills_not_claimed_paired,,,,-0.10114527960114321,True,True,5600.0,analytic,,,
oracle,,130007,19.343786200147775,19.27938620014777,52.85723847850832,21.088201979486218,0.060400000000004304,0.004,2.165,5.0,2.1635,2.0,2.0,50.0,-0.2808554271693785,-0.30775602093078946,0.12531595714376922,0.1233225516291787,2.1665614933513373,4000,2.7711166694643907e-13,exogenous_paired_fills_not_claimed_paired,,,,0.3868757240029555,False,False,5000.0,analytic,,,
oracle,,130008,13.551494718613114,13.404327218613112,63.766443412924076,14.512357036244,0.14716750000000192,0.0,3.16625,9.0,2.08425,0.0,0.0,76.0,-0.39718467963846366,-0.41160355586215325,0.1601731825081861,0.1679928807630724,1.8285776343569424,4000,5.222489107836736e-13,exogenous_paired_fills_not_claimed_paired,,,,0.17830914103438308,False,False,7600.0,analytic,,,
oracle,,130009,57.090041090321506,57.01700109032151,65.02580507480927,12.299360085939846,0.04804000000000192,0.025,1.808,5.0,0.1925,-5.0,5.0,69.0,-0.32174556835957,-0.330968888268383,0.14584094689453,0.1463189085081987,2.0681597387832387,4000,1.9753088054130785e-12,exogenous_paired_fills_not_claimed_paired,,,,0.8273918998597319,False,False,6900.0,analytic,,,
