metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,training_seed,level
raw_pnl,50,25.781720577797074,58.254228958796105,8.238392065911695,31.700388323339098,12.05908932331591,50.17500262198364,38.11591329866773,9.634472128610152,41.92896902698399,0.18,196.62228241072535,hamilton_ppo,0.0,within_training_seed
full_objective,50,25.429284977797074,58.32656663672728,8.248622158431779,31.5054833233391,11.771023508081154,50.011370121983646,38.24034661390249,9.26198554727079,41.59658440832336,0.18,196.18766491072537,hamilton_ppo,0.0,within_training_seed
mean_abs_inventory,50,3.9078500000000003,2.4373602916529453,0.34469479808452375,3.2885,2.0069375,5.452875000000001,3.4459375000000008,3.232248195754334,4.583451804245667,0.0,9.93425,hamilton_ppo,0.0,within_training_seed
terminal_abs_inventory,50,7.2,4.642307659791977,0.6565214453186318,7.0,3.0,10.75,7.75,5.913217967175482,8.486782032824518,0.0,19.0,hamilton_ppo,0.0,within_training_seed
raw_pnl,50,37.379389686047624,98.90483230044629,13.98725552235277,36.86922037052477,-3.950328882987634,77.06326073948051,81.01358962246815,9.964368862236196,64.79441050985905,0.26,360.0951756119807,return_lstm_ppo,0.0,within_training_seed
full_objective,50,36.56162938604764,98.9901314184485,13.99931863930649,36.04035037052479,-4.738037285561056,76.65335011448053,81.3913874000416,9.122964853006923,64.00029391908836,0.26,358.1403331119808,return_lstm_ppo,0.0,within_training_seed
mean_abs_inventory,50,6.932299999999999,2.4917456082073084,0.3523860433110372,7.08075,5.239875,8.356875,3.117000000000001,6.241623355110366,7.622976644889632,0.0,13.138,return_lstm_ppo,0.0,within_training_seed
terminal_abs_inventory,50,11.4,3.8913824205360674,0.550324579550235,11.5,8.25,14.0,5.75,10.32136382408154,12.47863617591846,0.0,20.0,return_lstm_ppo,0.0,within_training_seed
raw_pnl,50,28.95476880337721,179.56113344915283,25.393779019887713,64.03861892750649,-25.21316290658939,137.14774618202773,162.36090908861712,-20.817038075602706,78.72657568235712,0.32,692.6483221140097,return_mlp_ppo,0.0,within_training_seed
full_objective,50,25.541473053377246,180.68098392595547,25.552149793100142,63.042685059105935,-30.96315354921757,133.7820950738979,164.74524862311546,-24.540740541099034,75.62368664785353,0.34,706.0577196140096,return_mlp_ppo,0.0,within_training_seed
mean_abs_inventory,50,12.419584999999998,6.381746210715739,0.9025152042817305,12.555125,6.999375,16.987875,9.988499999999998,10.650655199607806,14.18851480039219,0.0,28.22825,return_mlp_ppo,0.0,within_training_seed
terminal_abs_inventory,50,24.48,11.79629827790161,1.668248501040684,25.5,15.75,33.75,18.0,21.21023293796026,27.74976706203974,0.0,54.0,return_mlp_ppo,0.0,within_training_seed
