metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,level
full_objective,50,45.184339432234054,42.66866728583659,6.03426079640153,49.771576798623244,23.74853121167312,74.03505115484403,50.2865199431709,33.35718827128706,57.01149059318105,0.1,115.36270225678662,belief_weighted,pooled_all_seeds
raw_pnl,50,45.37299888223406,42.617535306397144,6.0270296425221055,49.873924298623244,23.845776211673126,74.14392052984402,50.2981443181709,33.56002078289073,57.18597698157738,0.1,115.46386475678662,belief_weighted,pooled_all_seeds
mean_abs_inventory,50,3.0726650000000006,1.4639252061526857,0.2070302880840957,2.689375,2.157875,3.8970624999999997,1.7391874999999994,2.666885635355173,3.478444364644828,0.0,7.72875,belief_weighted,pooled_all_seeds
terminal_abs_inventory,50,4.24,3.2798705798260035,0.4638437456818441,3.0,2.0,6.0,4.0,3.330866258463586,5.1491337415364145,0.0,15.0,belief_weighted,pooled_all_seeds
full_objective,50,25.429284977797074,58.32656663672728,8.248622158431779,31.5054833233391,11.771023508081154,50.011370121983646,38.24034661390249,9.26198554727079,41.59658440832336,0.18,196.18766491072537,hamilton_ppo,pooled_all_seeds
raw_pnl,50,25.781720577797074,58.254228958796105,8.238392065911695,31.700388323339098,12.05908932331591,50.17500262198364,38.11591329866773,9.634472128610152,41.92896902698399,0.18,196.62228241072535,hamilton_ppo,pooled_all_seeds
mean_abs_inventory,50,3.9078500000000003,2.4373602916529453,0.34469479808452375,3.2885,2.0069375,5.452875000000001,3.4459375000000008,3.232248195754334,4.583451804245667,0.0,9.93425,hamilton_ppo,pooled_all_seeds
terminal_abs_inventory,50,7.2,4.642307659791977,0.6565214453186318,7.0,3.0,10.75,7.75,5.913217967175482,8.486782032824518,0.0,19.0,hamilton_ppo,pooled_all_seeds
full_objective,50,39.77643590637052,74.66759678917663,10.559592804905934,51.76725749598195,17.978803592657982,75.9238750107826,57.94507141812461,19.07963400875489,60.47323780398615,0.16,293.9729878975726,naive,pooled_all_seeds
raw_pnl,50,40.13688970637052,74.37965788039637,10.518872093912739,52.14790249598195,18.08385921765798,76.0803112607826,57.99645204312461,19.51990040230155,60.75387901043949,0.16,291.07653539757257,naive,pooled_all_seeds
mean_abs_inventory,50,4.16803,2.34770047645411,0.33201498541911795,3.51,2.4566875,5.400875,2.9441875,3.5172806285785287,4.818779371421471,0.0,13.34325,naive,pooled_all_seeds
