metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,training_seed,level
raw_pnl,30,58.891910996938215,110.32307734585841,20.142146025237942,59.37413789624367,-0.446462523281582,119.34351308759148,119.78997561087306,19.41330478747185,98.37051720640457,0.26666666666666666,372.6290745711999,hamilton_ppo,0.0,within_training_seed
full_objective,30,57.74028691360487,110.21366601756036,20.12217034105279,58.13669164624368,-1.226975041684974,118.07207496259146,119.29905000427644,18.300833045141403,97.17974078206834,0.3,370.5079170711999,hamilton_ppo,0.0,within_training_seed
mean_abs_inventory,30,8.161674999999999,2.7299313621455505,0.4984149958293076,8.454,6.5004375,9.54625,3.0458125000000003,7.184781608174556,9.138568391825443,0.0,15.18525,hamilton_ppo,0.0,within_training_seed
terminal_abs_inventory,30,14.233333333333333,4.477401750656469,0.8174579792825564,14.5,11.0,17.75,6.75,12.631115693939522,15.835550972727143,0.0,26.0,hamilton_ppo,0.0,within_training_seed
raw_pnl,30,122.50780555264028,571.150462138682,104.27733061428548,101.5689994653435,-226.43825962223127,412.97578042010605,639.4140400423373,-81.87576245135925,326.8913735566398,0.4,1383.189824229994,return_lstm_ppo,0.0,within_training_seed
full_objective,30,92.8658729693068,573.1226084946347,104.63739362957112,76.87273696534344,-252.54828399723186,380.72206229510545,633.2703462923373,-112.22341854465257,297.9551644832662,0.43333333333333335,1350.5770242299939,return_lstm_ppo,0.0,within_training_seed
mean_abs_inventory,30,42.786791666666666,4.763810509837168,0.8697488253060011,42.81625,39.6243125,46.3794375,6.755125,41.0820839690669,44.49149936426643,0.0,50.629,return_lstm_ppo,0.0,within_training_seed
terminal_abs_inventory,30,76.93333333333334,8.729392811105175,1.5937617853219126,76.5,71.0,83.5,12.5,73.80956023410239,80.05710643256428,0.0,93.0,return_lstm_ppo,0.0,within_training_seed
raw_pnl,30,45.49981288729847,77.58070528915341,14.164234104676558,52.84311298616049,11.702359570401669,95.28404634197835,83.58168677157668,17.737914042132417,73.26171173246452,0.2,260.73684713766806,return_mlp_ppo,0.0,within_training_seed
full_objective,30,45.0174954706318,77.55745092018577,14.159988457195183,52.517676736160496,11.447763945401675,94.71724009197837,83.2694761465767,17.26391809452924,72.77107284673436,0.2,259.6921196376681,return_mlp_ppo,0.0,within_training_seed
mean_abs_inventory,30,5.638441666666667,2.0546928473401858,0.3751338737442461,5.819,4.1561875,7.2006875,3.0445,4.903179274127945,6.373704059205389,0.0,10.33475,return_mlp_ppo,0.0,within_training_seed
terminal_abs_inventory,30,7.066666666666666,3.1065374152975656,0.5671735393640903,7.0,4.25,9.0,4.75,5.955006529513049,8.178326803820283,0.0,12.0,return_mlp_ppo,0.0,within_training_seed
