agent_type,training_seed,training_env_seed,evaluation_seed,raw_pnl,full_objective,spread_revenue,adverse_selection_loss,running_penalty,terminal_penalty,mean_abs_inventory,max_abs_inventory,mean_signed_inventory,terminal_signed_inventory,terminal_abs_inventory,fills,bid_action_mean,ask_action_mean,bid_action_std,ask_action_std,mean_quoted_spread,episode_length,reward_reconciliation_error,path_pairing_status,model_path,total_training_timesteps,recurrent_state_reset_verified,return_on_turnover_pct,raw_pnl_loss,full_objective_loss,turnover,checkpoint_selection,loaded_model_path,best_validation_timestep,best_validation_mean_objective,selected_checkpoint_timestep,selected_validation_mean,selected_validation_std,validation_seed_count,environment_type
oracle,,,170000,46.49786598191818,46.48980786839899,59.52490545241571,22.9670638909523,0.007058113519189806,0.001,0.5888157894736842,2.0,-0.14144736842105263,1.0,1.0,87.0,-0.4259808812050137,-0.2867824044901354,0.33092056020614663,0.2817102294468521,1.9759813796753227,304,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.5344582296772205,False,False,8700.0,analytic,,,,,,,,event
oracle,,,170001,24.023958983184244,24.017508071151827,47.21808685448853,12.796414795587438,0.006450912032417625,0.0,0.46875,2.0,-0.08680555555555555,0.0,0.0,82.0,-0.3765286105152481,-0.35134880423187076,0.2900889916663399,0.3225304353156784,1.9527803341762193,288,3.552713678800501e-15,exogenous_paired_fills_not_claimed_paired,,,,0.29297510955102735,False,False,8200.0,analytic,,,,,,,,event
oracle,,,170002,26.62542908169968,26.615719962707917,44.94993799296092,24.220641091131444,0.009709118991762937,0.0,0.5,3.0,0.1413793103448276,0.0,0.0,48.0,-0.21945614604219535,-0.2565550132520511,0.23943015922049998,0.23973661417406014,2.3394093243322294,290,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.5546964392020767,False,False,4800.0,analytic,,,,,,,,event
oracle,,,170003,19.14437979490458,19.135912897359947,49.17382338893303,33.39185418993394,0.004466897544631783,0.004,0.47157190635451507,2.0,-0.010033444816053512,2.0,2.0,64.0,-0.3015832410923533,-0.2466911072622387,0.30509464896168487,0.2519333252736882,2.228481229730523,299,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.29913093429538407,False,False,6400.0,analytic,,,,,,,,event
oracle,,,170004,19.553478617916724,19.547367965148705,40.652330224172765,15.872520153649308,0.005110652768019353,0.001,0.44876325088339225,2.0,-0.0035335689045936395,1.0,1.0,57.0,-0.3024302842673655,-0.3078244610820001,0.3042798347484766,0.2943680093269721,2.133337804278509,283,7.105427357601002e-15,exogenous_paired_fills_not_claimed_paired,,,,0.34304348452485484,False,False,5700.0,analytic,,,,,,,,event
oracle,,,170005,17.919212539752607,17.903401481585576,56.33942960659501,23.58031067245763,0.006811058167029538,0.009000000000000001,0.6146179401993356,3.0,0.07641196013289037,-3.0,3.0,75.0,-0.24223352040154167,-0.3276041169033945,0.3096375326882243,0.3100132430412376,2.195380357935198,301,3.552713678800501e-15,exogenous_paired_fills_not_claimed_paired,,,,0.23892283386336807,False,False,7500.0,analytic,,,,,,,,event
oracle,,,170006,26.153303719102695,26.15008066069323,38.2192414187863,21.707954925874173,0.003223058409465703,0.0,0.3346774193548387,2.0,-0.14919354838709678,0.0,0.0,50.0,-0.31339501092001804,-0.2251357266060936,0.23049539296874966,0.23246698349444395,2.243438225094251,248,0.0,exogenous_paired_fills_not_claimed_paired,,,,0.5230660743820539,False,False,5000.0,analytic,,,,,,,,event
oracle,,,170007,43.10965014627919,43.093701473494534,64.4804259404923,26.86759527845374,0.014948672784664314,0.001,0.8823529411764706,4.0,0.39100346020761245,1.0,1.0,79.0,-0.22025308823736056,-0.3497249500165326,0.33434403709005417,0.319566313788488,2.1951648345137906,289,1.4210854715202004e-14,exogenous_paired_fills_not_claimed_paired,,,,0.5456917740035341,False,False,7900.0,analytic,,,,,,,,event
oracle,,,170008,21.554093319759176,21.54165623480404,62.86285948989364,27.283567053764354,0.00843708495513501,0.004,0.6571428571428571,3.0,0.24285714285714285,2.0,2.0,76.0,-0.21846707045418845,-0.33308575045447447,0.30470129694785825,0.32154787586819633,2.2234485883766606,280,2.4868995751603507e-14,exogenous_paired_fills_not_claimed_paired,,,,0.28360649104946284,False,False,7600.0,analytic,,,,,,,,event
oracle,,,170009,51.707735781417924,51.700842138964134,59.0293591112359,16.594017500720895,0.005893642453788319,0.001,0.5288135593220339,2.0,-0.02711864406779661,-1.0,1.0,95.0,-0.37110045974196687,-0.34848550691356056,0.2906376599516867,0.32348989660918204,1.9655081773595753,295,1.4210854715202004e-14,exogenous_paired_fills_not_claimed_paired,,,,0.5442919555938729,False,False,9500.0,analytic,,,,,,,,event
