metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,training_seed,level
raw_pnl,100,25.1206903517137,40.31557148294908,4.031557148294908,30.324492838957767,-1.4135263568708822,46.99122364561698,48.40475000248786,17.21883834105568,33.02254236237172,0.28,141.19659903747936,hamilton_ppo,2.0,within_training_seed
full_objective,100,24.911639701713696,40.319237423269286,4.031923742326929,30.18209783895776,-1.4761638568708861,46.871879895616985,48.34804375248787,17.009069166752916,32.81421023667448,0.28,140.58806653747934,hamilton_ppo,2.0,within_training_seed
mean_abs_inventory,100,3.708215,1.388994280000367,0.13889942800003668,3.6723749999999997,2.8722499999999997,4.426375,1.5541250000000004,3.4359721211199283,3.9804578788800717,0.0,7.7735,hamilton_ppo,2.0,within_training_seed
terminal_abs_inventory,100,3.7,2.139102048934921,0.21391020489349208,3.0,2.0,5.0,3.0,3.2807359984087556,4.119264001591245,0.0,9.0,hamilton_ppo,2.0,within_training_seed
raw_pnl,100,31.218592054448653,53.7353798419101,5.37353798419101,37.77225940116719,11.448452167589124,52.331006397608746,40.88255423001962,20.68645760543427,41.750726503463035,0.2,194.4529089221121,return_lstm_ppo,2.0,within_training_seed
full_objective,100,30.779048704448652,53.78387153588241,5.378387153588241,37.51540858422845,11.25799841758913,52.167226397608744,40.909227980019615,20.2374098834157,41.3206875254816,0.2,195.51467892211207,return_lstm_ppo,2.0,within_training_seed
mean_abs_inventory,100,4.40837,2.0585198576632533,0.20585198576632532,4.2625,2.91725,5.843375,2.926125,4.004900107898002,4.811839892101998,0.0,11.6055,return_lstm_ppo,2.0,within_training_seed
terminal_abs_inventory,100,9.01,4.663407953136176,0.46634079531361755,9.0,6.0,12.0,6.0,8.095972041185309,9.92402795881469,0.0,19.0,return_lstm_ppo,2.0,within_training_seed
raw_pnl,100,26.58185912031512,41.17067631120641,4.117067631120641,26.905486676395384,3.151758299588785,52.21766200238788,49.0659037027991,18.512406563318663,34.651311677311575,0.25,170.25694149386334,return_mlp_ppo,2.0,within_training_seed
full_objective,100,26.393671745315118,41.18478708631736,4.118478708631736,26.79637542639539,2.93541267458878,52.06445012738788,49.129037452799096,18.321453476396915,34.465890014233324,0.25,170.07493649386333,return_mlp_ppo,2.0,within_training_seed
mean_abs_inventory,100,3.8047224999999996,0.8960121512122196,0.08960121512122196,3.748125,3.3023749999999996,4.3865,1.0841250000000002,3.6291041183624047,3.9803408816375945,0.0,6.09575,return_mlp_ppo,2.0,within_training_seed
terminal_abs_inventory,100,2.62,1.3467506724473441,0.1346750672447344,3.0,2.0,4.0,2.0,2.3560368682003205,2.8839631317996797,0.0,6.0,return_mlp_ppo,2.0,within_training_seed
