metric,n,mean,std,se,median,iqr_low,iqr_high,iqr,ci_lo,ci_hi,loss_rate,max_abs,agent_type,level
full_objective,100,44.49137834389766,45.43068103266218,4.543068103266218,44.7946582965468,22.985588272613782,64.625138990995,41.639550718381216,35.58696486149587,53.395791826299444,0.13,202.16000692389403,belief_weighted,pooled_all_seeds
raw_pnl,100,44.74624186889766,45.448120047478994,4.544812004747899,44.8542632965468,23.139435147613785,64.874238990995,41.734803843381215,35.83841033959178,53.65407339820354,0.13,202.917004423894,belief_weighted,pooled_all_seeds
mean_abs_inventory,100,3.6151975000000003,1.708769185824399,0.1708769185824399,3.185625,2.366,4.7673749999999995,2.4013749999999994,3.280278739578418,3.9501162604215825,0.0,8.70875,belief_weighted,pooled_all_seeds
terminal_abs_inventory,100,5.05,3.400460456045815,0.3400460456045815,4.0,2.0,7.0,5.0,4.38350975061502,5.71649024938498,0.0,16.0,belief_weighted,pooled_all_seeds
full_objective,100,41.39711418246683,41.84411451659567,4.1844114516595665,36.961115388003556,17.115500200048746,61.23405256778041,44.11855236773167,33.19566773721408,49.59856062771958,0.13,149.53615313703477,hamilton_ppo,pooled_all_seeds
raw_pnl,100,41.57486935746683,41.881435376754006,4.1881435376754,37.001182888003555,17.240076450048747,61.45430256778042,44.21422611773167,33.36610802362305,49.78363069131061,0.13,149.61567813703476,hamilton_ppo,pooled_all_seeds
mean_abs_inventory,100,3.1140875,1.6672961085556453,0.16672961085556454,2.793375,1.8161875,4.180375,2.3641875,2.7872974627230938,3.4408775372769065,0.0,7.80875,hamilton_ppo,pooled_all_seeds
terminal_abs_inventory,100,3.42,2.6330456306204213,0.26330456306204214,3.0,1.0,5.0,4.0,2.9039230563983973,3.9360769436016025,0.0,11.0,hamilton_ppo,pooled_all_seeds
full_objective,100,50.52604379075778,55.50102501936653,5.550102501936653,47.23858796702295,24.9291101378929,78.18059964179284,53.25148950389994,39.64784288696194,61.404244694553626,0.14,197.63143248013847,naive,pooled_all_seeds
raw_pnl,100,50.989980640757786,55.488971683803406,5.548897168380341,47.358479217022946,25.7226867123415,78.29621026679284,52.57352355445134,40.114142190732316,61.865819090783255,0.13,198.9039799801385,naive,pooled_all_seeds
mean_abs_inventory,100,4.71788,2.687767505709427,0.2687767505709427,4.0595,2.722875,6.3325625,3.6096874999999997,4.191077568880952,5.244682431119048,0.0,12.842,naive,pooled_all_seeds
terminal_abs_inventory,100,6.97,5.001928920855726,0.5001928920855726,6.0,3.0,10.25,7.25,5.989621931512278,7.950378068487722,0.0,24.0,naive,pooled_all_seeds
full_objective,100,43.736677945972744,45.43474535126381,4.54347453512638,43.345682018197024,20.65219151784114,66.129468606827,45.477277088985865,34.83146785712504,52.64188803482045,0.15,202.62861254619847,oracle,pooled_all_seeds
raw_pnl,100,43.99244207097273,45.457800745675904,4.54578007456759,43.548475919656,20.920775892841142,66.38136735682701,45.46059146398587,35.08271312482025,52.902171017125205,0.15,203.42031754619848,oracle,pooled_all_seeds
mean_abs_inventory,100,3.6015525000000004,1.7270481861375964,0.17270481861375964,3.3040000000000003,2.1743125,4.4931875,2.3188750000000002,3.2630510555170313,3.9400539444829694,0.0,9.09375,oracle,pooled_all_seeds
terminal_abs_inventory,100,4.92,3.600448905793876,0.3600448905793876,4.0,2.0,7.0,5.0,4.2143120144644,5.6256879855356,0.0,15.0,oracle,pooled_all_seeds
full_objective,100,43.37886230568952,46.607042636366465,4.660704263636647,39.625109606245786,19.748256752417507,69.36794111512387,49.619684362706366,34.2438819489617,52.513842662417346,0.15,177.17107361132676,randomised,pooled_all_seeds
raw_pnl,100,43.630506680689514,46.61100593354725,4.661100593354725,39.76583460624579,19.90678487741751,69.78820523768928,49.881420360271775,34.494749517714254,52.766263843664774,0.15,177.72738111132674,randomised,pooled_all_seeds
mean_abs_inventory,100,3.6223425000000002,1.688703937776952,0.1688703937776952,3.332125,2.2845,4.828062500000001,2.5435625000000006,3.291356528195718,3.9533284718042827,0.0,8.70875,randomised,pooled_all_seeds
terminal_abs_inventory,100,4.8,3.475745687015677,0.3475745687015677,4.0,2.0,7.0,5.0,4.118753845344927,5.481246154655072,0.0,15.0,randomised,pooled_all_seeds
full_objective,100,30.35392068491824,54.218289239639766,5.421828923963977,35.49830469918832,11.44029206214092,58.22463277805639,46.78434071591547,19.727135993948846,40.98070537588764,0.18,216.7765882620215,return_lstm_ppo,pooled_all_seeds
raw_pnl,100,30.713242684918242,54.07850307920365,5.407850307920365,35.679723449188316,12.268509254378174,58.482755550251994,46.21424629587382,20.113856081394328,41.31262928844215,0.18,217.3471307620215,return_lstm_ppo,pooled_all_seeds
mean_abs_inventory,100,3.9235600000000006,2.4617468786607533,0.24617468786607533,3.3758749999999997,1.9148125,5.574,3.6591875,3.441057611782493,4.406062388217508,0.0,11.57975,return_lstm_ppo,pooled_all_seeds
terminal_abs_inventory,100,6.89,4.904944938374421,0.49049449383744215,7.0,3.0,10.25,7.25,5.928630792078613,7.851369207921386,0.0,23.0,return_lstm_ppo,pooled_all_seeds
full_objective,100,32.80365206945427,23.956229089539562,2.395622908953956,32.94757260924845,14.653623587475193,48.31992064855529,33.666297061080094,28.10823116790452,37.499072971004026,0.06,101.8186206892606,return_mlp_ppo,pooled_all_seeds
raw_pnl,100,32.86594539445427,23.956160733983246,2.3956160733983247,32.969588859248454,14.749378587475192,48.34828127355529,33.598902686080095,28.170537890593558,37.561352898314986,0.06,102.07264318926059,return_mlp_ppo,pooled_all_seeds
mean_abs_inventory,100,1.8043425000000002,0.7624969619537093,0.07624969619537093,1.6655,1.197625,2.2713125,1.0736875000000001,1.654893095457073,1.9537919045429273,0.0,4.77225,return_mlp_ppo,pooled_all_seeds
terminal_abs_inventory,100,2.22,1.5800524220941712,0.1580052422094171,2.0,1.0,3.0,2.0,1.9103097252695427,2.5296902747304575,0.0,7.0,return_mlp_ppo,pooled_all_seeds
