n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag
10,44.44625530918222,22.448936375790062,44.6044608091829,3.5,0.0035818569735962796,0.0034201896343808583,0.0019614175260222163,0.0021393243487342214,0,baseline_untrained
10,47.767510307391525,20.286743224731506,47.91731780739212,4.1,-0.047141460115575864,0.06541314816200175,0.016361097444250076,0.06196196278920683,16000,timestep_16000
10,47.752436650257266,23.96361221994904,47.98271690025769,4.3,0.014199203440576093,0.13409305343762462,0.010250005519614733,0.11956957157022206,32000,timestep_32000
10,38.399526681042545,15.050564146851304,38.47714118104301,3.0,0.10481793792287936,0.304279834626487,0.04223996313156122,0.11572647999049263,48000,timestep_48000
10,35.547326112435016,20.387707157128574,35.63214811243516,3.6,0.18114153245274212,0.20903026007016015,0.08638269160470016,0.11632984138577819,64000,timestep_64000
10,31.426196886220573,18.940375869426866,31.522248136220988,3.7,0.2189416650313884,0.27259516408237977,0.08740879605882138,0.1128306646809339,80000,timestep_80000
10,28.943568965273066,19.31211151033413,29.032444465273606,2.9,0.16924287574577612,0.4209808356224385,0.07967297534128774,0.1226781350999128,96000,timestep_96000
10,36.95103002312713,20.477588389555706,37.20204702312769,6.1,-0.0051918850130809,0.3698442502605729,0.033331270162294445,0.10204770980561823,112000,timestep_112000
10,37.42654454702362,19.24507108405881,37.5900482970241,4.2,0.023065056579082737,0.29832768788000685,0.039402415253989784,0.10574751045212152,128000,timestep_128000
10,34.47711054517422,27.594435289319627,35.07887679517434,10.9,-0.15208225665870123,0.3456797756593674,0.03239386089055069,0.08280333940655682,144000,timestep_144000
10,25.966341747463797,50.778842902439116,27.61887449746398,19.5,-0.3116389670401812,0.4546168335866183,0.05567121513104704,0.0875100414084648,160000,timestep_160000
10,24.10353391106776,50.989175925032804,25.747112911067983,18.9,-0.2909357564400882,0.5164916034750641,0.037034921225461204,0.0760499605123368,176000,timestep_176000
10,24.002950022971238,47.239740527332515,25.73480402297171,19.4,-0.2776881667792797,0.6198127143293619,0.0330139455344146,0.08651817662907328,192000,timestep_192000
10,25.309384861447985,33.74007456390967,26.285985111448177,14.4,-0.162337718260102,0.6910088279262185,0.022050657150921683,0.11151294874484853,200000,final_post_training
