source,policy,learner_seed,checkpoint_transition,n_paths,mean_bid_action,mean_ask_action,action_std_bid,action_std_ask,near_bound_rate_deterministic,stochastic_action_std_bid,stochastic_action_std_ask,near_bound_rate_stochastic,stochastic_full_objective
holdout,belief_weighted,,,500,-0.3283006947087175,-0.330093100336809,0.1327104171298731,0.1331237408610534,0.0,,,,
holdout,frozen_clone,,,500,-0.3278812808278537,-0.3299720585464421,0.1326086697198701,0.1333475818846403,0.0,,,,
holdout,hamilton_ppo,0.0,200000.0,500,-0.063066631877869,-0.0876774792520945,0.0432476821371968,0.0375806355000429,0.0,0.1929608799358198,0.2057689237844122,7.5757575757574e-06,38.53996343110441
holdout,hamilton_ppo,0.0,1000000.0,500,-0.2087662266903123,-0.1235825927538127,0.0321457067756271,0.0445130091703434,0.0,0.145163786380525,0.1295110352006046,0.0,40.03393674915929
holdout,hamilton_ppo,1.0,200000.0,500,-0.0833346853161699,-0.0852572757807839,0.0313838523251805,0.0242608404540516,0.0,0.1870510221872601,0.1977250552778359,0.0,37.12522188552919
holdout,hamilton_ppo,1.0,1000000.0,500,-0.1633181895394461,-0.1091800517709237,0.0551204999122692,0.0488785528193226,0.0,0.1374294380135406,0.1368163944982882,0.0,42.21089707519669
holdout,hamilton_ppo,2.0,200000.0,500,-0.0228669391763385,-0.0588676718392163,0.0158534128962594,0.0332620424158118,0.0,0.1872330405101873,0.2037863555241919,1.49831649831648e-05,37.27558228410488
holdout,hamilton_ppo,2.0,1000000.0,500,-0.2815809367270216,-0.2316851474698905,0.1014428933574844,0.1328338010310282,0.0,0.1702817512703292,0.1853675148258105,9.67904800205638e-05,41.11663968514248
holdout,hamilton_ppo,3.0,200000.0,500,-0.0571581319897697,-0.0835253234592336,0.0422360316324819,0.0245451445183637,0.0,0.1905705762356292,0.2025036362299373,0.0,37.92375314659783
holdout,hamilton_ppo,3.0,1000000.0,500,-0.10162734532007,-0.1018628312046242,0.0548390147684936,0.0466725203060295,0.0,0.1399469222253099,0.1435968184801967,0.0,41.588182520515176
holdout,hamilton_ppo,4.0,200000.0,500,-0.0862829956141428,-0.0726272160033074,0.0536305056872306,0.0288355021018949,0.0,0.191980056371369,0.2098822178622839,2.20254185042914e-05,39.03225544849352
holdout,hamilton_ppo,4.0,1000000.0,500,-0.1564986806828677,-0.2056183072250181,0.056516862670031,0.0968467275982631,0.0,0.1392621353240293,0.1620454495464178,0.0,45.75738490189895
holdout,oracle,,,500,-0.3283787864185257,-0.3301105488911181,0.1334181870679708,0.1338427713484766,0.0,,,,
holdout,return_lstm_ppo,0.0,200000.0,500,-0.0780742373493233,-0.1416440342768304,0.0141456140502697,0.0234090054593418,0.0,0.2128992096886569,0.2162564687676614,0.0001370197531498,38.17399562905218
