training_seed,breakdown,bucket_value,n,mean_bid,mean_ask,frac_bid_low,frac_bid_high,frac_ask_low,frac_ask_high
0,inventory_sign,negative,71815,-0.25694370410383505,-0.32138006303858574,0.0,0.0,0.07160064053470723,0.0
0,inventory_sign,positive,302975,-0.12636128154576898,0.7782962204513414,0.0,0.0,0.0,0.4443237890915092
0,inventory_sign,zero,25210,-0.251861555662445,0.07004564409533967,0.0,0.0,0.0,0.0
0,belief_quintile,Q1,80000,-0.11495888576831204,0.19721365747842937,0.0,0.0,0.0589,0.08155
0,belief_quintile,Q2,80000,-0.15434207439960446,0.49155184760992415,0.0,0.0,0.005375,0.2856875
0,belief_quintile,Q3,80000,-0.17291580750052818,0.6539982704759575,0.0,0.0,0.0,0.4283625
0,belief_quintile,Q4,80000,-0.17304026191690935,0.6670417317333398,0.0,0.0,0.0,0.4416875
0,belief_quintile,Q5,80000,-0.17331986047460232,0.6713224783495069,0.0,0.0,0.0,0.44545
0,tau_bucket,"[0.00,0.25]",100000,-0.06907659248080104,0.782701648622267,0.0,0.0,0.0,0.69184
0,tau_bucket,"(0.25,0.50]",100000,-0.12377578619098291,0.6962129531180113,0.0,0.0,0.00617,0.50857
0,tau_bucket,"(0.50,0.75]",100000,-0.18523358237303794,0.4874985367727652,0.0,0.0,0.02787,0.14578
0,tau_bucket,"(0.75,1.00]",100000,-0.2527755510031432,0.1784892500046827,0.0,0.0,0.01738,0.0
1,inventory_sign,negative,329588,0.7872547486628947,0.16086619946951158,0.0,3.0340910470041385e-05,0.0,0.0
1,inventory_sign,positive,12485,0.72370782048644,0.11408963117869343,0.0,0.0,0.0,0.0
1,inventory_sign,zero,57927,0.8152705395953508,0.14044328922808452,0.0,0.0,0.0,0.0
1,belief_quintile,Q1,80000,0.44100671529099345,0.08884249319336376,0.0,0.0,0.0,0.0
1,belief_quintile,Q2,80000,0.738904382577166,0.14575935555454345,0.0,0.0,0.0,0.0
1,belief_quintile,Q3,80000,0.9146419322356582,0.18099050861541183,0.0,0.0,0.0,0.0
1,belief_quintile,Q4,80000,0.9243441032975912,0.1829656739367172,0.0,1.25e-05,0.0,0.0
1,belief_quintile,Q5,80000,0.9277452014513313,0.18368492383919657,0.0,0.0001125,0.0,0.0
1,tau_bucket,"[0.00,0.25]",100000,0.7371348062491417,0.15896630660528316,0.0,0.0,0.0,0.0
1,tau_bucket,"(0.25,0.50]",100000,0.7926111012810468,0.16261447059931233,0.0,0.0,0.0,0.0
1,tau_bucket,"(0.50,0.75]",100000,0.8074156612253189,0.15657087349161505,0.0,0.0,0.0,0.0
1,tau_bucket,"(0.75,1.00]",100000,0.8201522991266846,0.14764271341517568,0.0,0.0001,0.0,0.0
2,inventory_sign,negative,358591,0.3737143804685573,0.15610290398646898,0.0,0.0,0.0,0.0
2,inventory_sign,positive,6704,0.806295703149674,-0.0053818629100765404,0.0,0.21792959427207637,0.0,0.0
2,inventory_sign,zero,34705,0.8595860076753967,-0.02040144572521004,0.0,0.07096960092205734,0.0,0.0
2,belief_quintile,Q1,80000,0.2557106099780998,0.00839404271368403,0.0,0.0,0.0,0.0
2,belief_quintile,Q2,80000,0.41947588926743484,0.10838638338979799,0.0,0.00135,0.0,0.0
2,belief_quintile,Q3,80000,0.4774905592619092,0.18759852076536043,0.0,0.0106,0.0,0.0
2,belief_quintile,Q4,80000,0.48045149183514296,0.19240849111992867,0.0,0.0174375,0.0,0.0
2,belief_quintile,Q5,80000,0.4824708521185443,0.19362486526834546,0.0,0.0196625,0.0,0.0
2,tau_bucket,"[0.00,0.25]",100000,0.10615850194047205,0.23971335914194583,0.0,0.0,0.0,0.0
2,tau_bucket,"(0.25,0.50]",100000,0.28249242906163446,0.1985952173137851,0.0,0.0,0.0,0.0
2,tau_bucket,"(0.50,0.75]",100000,0.5070091441932694,0.11482326955823227,0.0,0.0,0.0,0.0
2,tau_bucket,"(0.75,1.00]",100000,0.796819446773529,-0.0008020034082699567,0.0,0.03924,0.0,0.0
3,inventory_sign,negative,7294,-0.29846496058941807,0.21628704685043654,0.0,0.0,0.0,0.0
3,inventory_sign,positive,375777,-0.015267540312484628,0.4382075489603875,0.0,0.0,0.0,0.0
3,inventory_sign,zero,16929,-0.42312154565535726,0.2055103949175034,0.0,0.0,0.0,0.0
3,belief_quintile,Q1,80000,-0.22552605597537623,0.2044873164427234,0.0,0.0,0.0,0.0
3,belief_quintile,Q2,80000,-0.09267196072237857,0.37432451974668074,0.0,0.0,0.0,0.0
3,belief_quintile,Q3,80000,0.03674303909798327,0.5079831436388195,0.0,0.0,0.0,0.0
3,belief_quintile,Q4,80000,0.045446619006525725,0.5161621082091704,0.0,0.0,0.0,0.0
3,belief_quintile,Q5,80000,0.04754312653145462,0.518605428474769,0.0,0.0,0.0,0.0
3,tau_bucket,"[0.00,0.25]",100000,0.26697511686243347,0.5359413976063393,0.0,0.0,0.0,0.0
3,tau_bucket,"(0.25,0.50]",100000,0.0812461945309944,0.48978992240149527,0.0,0.0,0.0,0.0
3,tau_bucket,"(0.50,0.75]",100000,-0.13180742146877572,0.401686347562056,0.0,0.0,0.0,0.0
3,tau_bucket,"(0.75,1.00]",100000,-0.3671860755740851,0.26983234563983977,0.0,0.0,0.0,0.0
4,inventory_sign,negative,13922,-0.1715883570529238,0.31868147974623257,0.0,0.0,0.0,0.0
4,inventory_sign,positive,364507,-0.42161212956651095,0.27237119590044984,0.0,0.0,0.0,0.0
4,inventory_sign,zero,21571,-0.23239801143969632,0.3484050264358134,0.0,0.0,0.0,0.0
4,belief_quintile,Q1,80000,-0.1545117910834728,0.049191054275690115,0.0,0.0,0.0,0.0
4,belief_quintile,Q2,80000,-0.3612962105262443,0.24414076019863132,0.0,0.0,0.0,0.0
4,belief_quintile,Q3,80000,-0.49304945299141106,0.36074131807908416,0.0,0.0,0.0,0.0
4,belief_quintile,Q4,80000,-0.5010511175088584,0.3670439169865102,0.0,0.0,0.0,0.0
4,belief_quintile,Q5,80000,-0.5036224669344723,0.3692996490895748,0.0,0.0,0.0,0.0
4,tau_bucket,"[0.00,0.25]",100000,-0.46522120559051633,0.20808912626393605,0.0,0.0,0.0,0.0
4,tau_bucket,"(0.25,0.50]",100000,-0.4496025819959864,0.2550949693629844,0.0,0.0,0.0,0.0
4,tau_bucket,"(0.50,0.75]",100000,-0.38875253483303823,0.2957455454104301,0.0,0.0,0.0,0.0
4,tau_bucket,"(0.75,1.00]",100000,-0.30724850881602617,0.3534037178662419,0.0,0.0,0.0,0.0
