training_seed,q,tau,b,q_scaled,bid_action,ask_action,bid_depth,ask_depth
0,-20,1.0,0.0,-0.9640275800758169,-0.27656322717666626,-1.0,1.1105164858844854,0.0
0,-20,1.0,0.1,-0.9640275800758169,-0.2856332063674927,-1.0,1.0965935532987767,0.0
0,-20,1.0,0.2,-0.9640275800758169,-0.29458746314048767,-1.0,1.0828482611892172,0.0
0,-20,1.0,0.3,-0.9640275800758169,-0.303367018699646,-1.0,1.0693711453534631,0.0
0,-20,1.0,0.4,-0.9640275800758169,-0.31191763281822205,-0.9802021980285645,1.0562454676165447,0.030390749128983745
0,-20,1.0,0.5,-0.9640275800758169,-0.3201911151409149,-0.9333261251449585,1.0435452029076233,0.10234818022224607
0,-20,1.0,0.6,-0.9640275800758169,-0.32814571261405945,-0.8853854537010193,1.0313344445326695,0.17593983049887257
0,-20,1.0,0.7,-0.9640275800758169,-0.33574631810188293,-0.8365423083305359,1.0196670839366753,0.2509168294488834
0,-20,1.0,0.8,-0.9640275800758169,-0.3429644703865051,-0.78696209192276,1.008586810703654,0.32702527425419237
0,-20,1.0,0.9,-0.9640275800758169,-0.3497777581214905,-0.7368121147155762,0.9981280275217498,0.4040083342083608
0,-20,1.0,1.0,-0.9640275800758169,-0.35616928339004517,-0.6862598657608032,0.9883166736518373,0.48160890411541685
0,-20,0.75,0.0,-0.9640275800758169,-0.2514289617538452,-1.0,1.149099009141781,0.0
0,-20,0.75,0.1,-0.9640275800758169,-0.2605591118335724,-1.0,1.1350837108281955,0.0
0,-20,0.75,0.2,-0.9640275800758169,-0.26957154273986816,-1.0,1.1212491181238786,0.0
0,-20,0.75,0.3,-0.9640275800758169,-0.27840656042099,-0.9547665119171143,1.1076868647846188,0.06943597024251767
0,-20,0.75,0.4,-0.9640275800758169,-0.2870091497898102,-0.9064680933952332,1.094481402090089,0.1435767825782983
0,-20,0.75,0.5,-0.9640275800758169,-0.295330286026001,-0.8569092750549316,1.0817079859206054,0.2196523801361504
0,-20,0.75,0.6,-0.9640275800758169,-0.30332741141319275,-0.8062673211097717,1.0694319447850373,0.29739065229229456
0,-20,0.75,0.7,-0.9640275800758169,-0.31096455454826355,-0.754726767539978,1.0577084968277868,0.37650832584860655
0,-20,0.75,0.8,-0.9640275800758169,-0.3182121813297272,-0.7024760842323303,1.046582978570065,0.45671608883723486
0,-20,0.75,0.9,-0.9640275800758169,-0.3250470459461212,-0.6497063636779785,1.0360910736511708,0.5377206034438428
0,-20,0.75,1.0,-0.9640275800758169,-0.3314513564109802,-0.59660804271698,1.026260093779644,0.6192295383157151
0,-20,0.5,0.0,-0.9640275800758169,-0.222370445728302,-1.0,1.193705479691744,0.0
0,-20,0.5,0.1,-0.9640275800758169,-0.2315213978290558,-0.9671627283096313,1.1796582490958119,0.05040707485922549
0,-20,0.5,0.2,-0.9640275800758169,-0.2405550479888916,-0.919369637966156,1.165791083633571,0.1237721797745615
0,-20,0.5,0.3,-0.9640275800758169,-0.24941140413284302,-0.8699690699577332,1.1521960745433653,0.19960485409565015
