level,training_seed,metric,n,mean,std,median,ci_lo,ci_hi,min,max
within_seed,0,cumulative_objective,100,18.850134436700227,140.76200260950387,34.029302418767415,-8.73921807476253,46.43948694816298,-678.6668164758338,313.3371465992815
within_seed,1,cumulative_objective,100,17.56070777912286,50.23732470756225,22.371518687487978,7.71419213644066,27.407223421805064,-185.62373178275462,197.01857097566858
within_seed,2,cumulative_objective,100,26.94051710063583,42.490788538451554,26.924583844857917,18.612322547099325,35.268711654172336,-100.81266247370945,185.13165347362866
within_seed,3,cumulative_objective,100,29.634255214275,95.69916015300866,25.39462310370407,10.877219824285305,48.3912906042647,-243.04219238633456,279.55574984026725
within_seed,4,cumulative_objective,100,29.874536967746685,158.85353550293573,44.1821700154215,-1.2607559908287165,61.009829926322084,-312.433282149835,410.55352341335214
between_training_seeds,ALL,cumulative_objective,5,24.57203029969612,5.942456637014627,26.94051710063583,19.363237398162,29.78082320123024,17.56070777912286,29.874536967746685
within_seed,0,raw_pnl,100,21.423056986700068,137.27312451071487,34.55436866876619,-5.482475417400046,48.32858939080018,-632.1471314758419,316.6175990992797
within_seed,1,raw_pnl,100,17.864319879122654,50.20961530495794,22.819368687486673,8.023235279350896,27.705404478894412,-184.73296928275408,197.63330847566363
within_seed,2,raw_pnl,100,27.17158960063575,42.48420637491382,26.980142594857647,18.84468515115264,35.49849405011886,-100.40014997370923,185.5097884736333
within_seed,3,raw_pnl,100,30.829100689275247,95.83197402080333,25.755920414125114,12.046033781197792,49.6121675973527,-241.063989886336,281.97505234026244
within_seed,4,raw_pnl,100,33.870337417747265,158.79037745527293,47.60041691695801,2.7474234365137704,64.99325139898076,-307.6248721498332,416.13475591335146
between_training_seeds,ALL,raw_pnl,5,26.2316809146962,6.586052779809215,27.17158960063575,20.458751120826694,32.0046107085657,17.864319879122654,33.870337417747265
