n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag,learner_seed,training_env_seed
10,44.85045473524061,22.62925891731189,45.00394023524116,3.5,-0.00222714889446425,0.0008013976644928334,0.001324507736103281,0.0008890694961085816,0,baseline_untrained,0,70001
10,48.44209184114849,18.696596571727078,48.54016934114971,2.5,0.06880225947799044,0.08512976822052151,0.035695621973166794,0.02504558838879439,16000,timestep_16000,0,70001
10,37.716239715504244,13.811279506791726,37.7570777155047,1.9,0.12035311781683704,0.23553007089104502,0.048338053666308195,0.08337186043408747,32000,timestep_32000,0,70001
10,38.12937385698616,15.962973312516663,38.17335835698701,1.4,0.07789310569165973,0.14177501109223814,0.10181680066907348,0.04620778136361006,48000,timestep_48000,0,70001
10,39.78843238919188,16.368727553709526,39.842305139192746,1.6,0.11776382082820637,0.16112842556261459,0.0797224503941668,0.051832404081502734,64000,timestep_64000,0,70001
10,33.79959405651691,16.242455121821518,33.87782630651776,2.9,0.02381772700691363,0.20894870828704443,0.057970211311133155,0.08428948429867363,80000,timestep_80000,0,70001
10,37.19902232888958,18.980411547731514,37.34922132889,5.1,-0.03487872766652145,0.21194643507180735,0.04472419861124059,0.10806866852403234,96000,timestep_96000,0,70001
10,37.72460636110236,16.777867020165438,37.821585111102976,3.5,0.015903038587525953,0.2084187917319825,0.05009660336564979,0.10108009675247895,112000,timestep_112000,0,70001
10,38.47640705838573,16.83570726885008,38.54813905838631,1.7,0.047474471800518225,0.18418787683355622,0.03972764710186551,0.09265162309497951,128000,timestep_128000,0,70001
10,38.35773947990962,14.623949687716443,38.41662947991019,2.5,0.10492869591230992,0.23966243401691317,0.032365128234350636,0.07079226800227567,144000,timestep_144000,0,70001
10,36.51428913854975,12.527961087160163,36.608252638549786,3.4,0.12355717976065353,0.3546457250766456,0.03931636274305238,0.0967540935060117,160000,timestep_160000,0,70001
10,26.16972424671153,16.636091355386498,26.389781996711655,6.0,0.06953957236808492,0.5610901683345437,0.08461021990075616,0.1269890174199779,176000,timestep_176000,0,70001
10,24.84828286949968,18.868409420391234,25.0684221194997,5.8,0.02789739389915485,0.4478874995931983,0.10565016733908393,0.11573915289118632,192000,timestep_192000,0,70001
10,26.3466225778237,17.38118648986791,26.527623077823694,5.2,0.01003967188380193,0.33957655983380974,0.1273012655505393,0.08086449212029194,200000,final_post_training,0,70001
