architecture,learner_seed,timestep,path,policy_hash,source
hamilton_ppo,0,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\hamilton_ppo_seed0\ppo_hamilton_ppo_seed0_t001000000.zip,a4b6545a408c2b742d61a593bcd696adfd09da1bed6b11d7ec9b2c89f3819172,trained_this_experiment
hamilton_ppo,1,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\hamilton_ppo_seed1\ppo_hamilton_ppo_seed1_t001000000.zip,1f0248c7ba2c27a73d91ca5dff0206f37272a1dc9b908bc959cf138fc0838dec,trained_this_experiment
hamilton_ppo,2,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\hamilton_ppo_seed2\ppo_hamilton_ppo_seed2_t001000000.zip,50f84e3ae0bbf6c4891a48cef28054c1ddd212782172030254050ce176f2526b,trained_this_experiment
hamilton_ppo,3,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\hamilton_ppo_seed3\ppo_hamilton_ppo_seed3_t001000000.zip,210a80b135476e7b5427535fe7239713758d7f7ab41f6460519fd1190f4947cc,trained_this_experiment
hamilton_ppo,4,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\hamilton_ppo_seed4\ppo_hamilton_ppo_seed4_t001000000.zip,77acc15cba71a6c78e8788bd765c3176bc825af17e8b5fa303a84fce7d8fc06f,trained_this_experiment
return_mlp_ppo,0,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\return_mlp_ppo_seed0\ppo_return_mlp_ppo_seed0_t001000000.zip,964e5153a219708bfcb3c9ba6d5326178ccfea0ddc6bc4f98a3c91847a912e16,trained_this_experiment
return_mlp_ppo,1,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\return_mlp_ppo_seed1\ppo_return_mlp_ppo_seed1_t001000000.zip,b9dd89d6be2403a389fbcbd5d63ecc4862d2961d75d3c89f3091e95e361843c7,trained_this_experiment
return_mlp_ppo,2,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\return_mlp_ppo_seed2\ppo_return_mlp_ppo_seed2_t001000000.zip,29289264d40b0ee9adb6414afa18fbffa0b213d6d52a29e4e8af14de8e9153de,trained_this_experiment
return_mlp_ppo,3,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\return_mlp_ppo_seed3\ppo_return_mlp_ppo_seed3_t001000000.zip,3e6c08273f92c534b9712ba4942ddaf4d88bdc247f9c60f0c7b7c484d8a36919,trained_this_experiment
return_mlp_ppo,4,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\return_mlp_ppo_seed4\ppo_return_mlp_ppo_seed4_t001000000.zip,d5da9265ba99eb43c91c6ff0d586b47c7758091d6aedf943afcd7030db1be8bb,trained_this_experiment
return_lstm_ppo,0,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\return_lstm_ppo_seed0\ppo_return_lstm_ppo_seed0_t001000000.zip,4ef6ff7504507466439886bb41205f61e8f562331fbf8e3bdc3b43b076cd6f9e,trained_this_experiment
return_lstm_ppo,1,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\return_lstm_ppo_seed1\ppo_return_lstm_ppo_seed1_t001000000.zip,bc46f819d42546b407d805914f34fdc852d1f9ded35ff109b8303a17c95fb8f7,trained_this_experiment
return_lstm_ppo,2,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\return_lstm_ppo_seed2\ppo_return_lstm_ppo_seed2_t001000000.zip,9f1485ad6feb29524cccb895d7e12684043b7c3b062336f474fc50242543e1fe,trained_this_experiment
return_lstm_ppo,3,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\return_lstm_ppo_seed3\ppo_return_lstm_ppo_seed3_t001000000.zip,82b4daa481540a3d9890deda4ffc91e5add706a9b379785cce7abf7927483eb1,trained_this_experiment
return_lstm_ppo,4,1000000,C:\Users\conor\OneDrive\Documents\Edinburgh master\Dissertation\Python\mbt_gym\models\inventory_penalty_sensitivity\return_lstm_ppo_seed4\ppo_return_lstm_ppo_seed4_t001000000.zip,1f90deaef475c1c72edb25018b88a033bc272af6644d057baf6d05a73530d280,trained_this_experiment
