penalty_calibration,architecture,learner_seed,exact_time_avg_signed_inventory,exact_time_avg_abs_inventory,mean_terminal_signed_inventory,mean_terminal_abs_inventory,max_abs_mean_signed_inventory,time_of_max_abs_mean_signed_inventory,frac_grid_points_positive,frac_grid_points_negative
original,hamilton_ppo,0,2.0724940383582724,4.159038721417443,4.2,7.344,4.2,1.0,0.9950248756218906,0.0
original,hamilton_ppo,1,2.0286562380575157,4.824400298034664,2.63,8.526,2.91,0.8250000000000001,0.9950248756218906,0.0
original,hamilton_ppo,2,1.852076697580594,5.250932940121097,3.27,10.698,3.27,1.0,0.9950248756218906,0.0
original,hamilton_ppo,3,-0.017349641950521372,4.311529669709034,0.212,8.44,0.228,0.97,0.36318407960199006,0.6218905472636815
original,hamilton_ppo,4,-0.6371866259403836,5.306717817601458,-2.302,10.47,2.302,1.0,0.2537313432835821,0.7313432835820896
original,return_mlp_ppo,0,-9.320153885209258,9.42252708837469,-12.934,13.026,13.408,0.805,0.0,0.9950248756218906
original,return_mlp_ppo,1,-3.255551052112952,4.742662095152698,-4.826,7.362,4.892,0.89,0.0,0.9950248756218906
original,return_mlp_ppo,2,-8.06517751880006,8.220086321729138,-11.246,11.502,11.584,0.89,0.0,0.9950248756218906
original,return_mlp_ppo,3,-10.725166456788026,11.126906920156959,-20.576,20.928,20.576,1.0,0.0,0.9950248756218906
original,return_mlp_ppo,4,-13.111192330081286,13.737532117443708,-27.148,27.856,27.148,1.0,0.0,0.9950248756218906
original,return_lstm_ppo,0,-9.989428087991318,10.0818046156146,-17.326,17.346,17.326,1.0,0.0,0.9950248756218906
original,return_lstm_ppo,1,-2.326728055539685,3.774720663988197,-3.466,5.73,3.552,0.89,0.004975124378109453,0.9900497512437811
original,return_lstm_ppo,2,0.6480513030436578,4.232654410615636,2.568,6.86,2.568,1.0,0.9751243781094527,0.01990049751243781
original,return_lstm_ppo,3,-6.378822418934035,6.7806382371008125,-10.206,10.578,10.206,1.0,0.0,0.9950248756218906
original,return_lstm_ppo,4,-10.583417895440842,10.664683871713041,-14.64,14.7,15.09,0.895,0.0,0.9950248756218906
high_penalty,hamilton_ppo,0,3.9397739614388643,5.7959647843230195,2.312,6.82,5.478,0.53,0.9950248756218906,0.0
high_penalty,hamilton_ppo,1,1.8485849233814984,2.4442590991000515,1.988,2.572,2.202,0.525,0.9950248756218906,0.0
high_penalty,hamilton_ppo,2,4.093275858171489,4.865249496468983,6.414,7.658,6.476,0.97,0.9950248756218906,0.0
high_penalty,hamilton_ppo,3,2.938892076629684,4.886802179868353,6.618,9.402,6.618,1.0,0.9950248756218906,0.0
high_penalty,hamilton_ppo,4,-0.8245289364459901,3.0745357777397495,-1.164,3.912,1.258,0.785,0.01990049751243781,0.9751243781094527
high_penalty,return_mlp_ppo,0,-3.2203825358702707,5.566193988010835,-6.294,10.106,6.294,1.0,0.009950248756218905,0.9850746268656716
high_penalty,return_mlp_ppo,1,-0.07462512893207397,3.062972492403288,-0.708,4.3,0.708,1.0,0.4975124378109453,0.4925373134328358
high_penalty,return_mlp_ppo,2,4.537134418240565,5.2490323072635094,8.044,9.0,8.044,1.0,0.9950248756218906,0.0
high_penalty,return_mlp_ppo,3,4.240877766319563,5.029100407100052,6.352,7.552,6.372,0.995,0.9950248756218906,0.0
high_penalty,return_mlp_ppo,4,-5.635693957220546,6.248974212984778,-7.26,8.24,7.68,0.755,0.0,0.9950248756218906
high_penalty,return_lstm_ppo,0,-1.0533842003657843,3.409112323082556,-3.204,5.48,3.204,1.0,0.10945273631840796,0.8805970149253731
high_penalty,return_lstm_ppo,1,2.333224934400605,4.697505789385436,3.566,7.314,3.608,0.97,0.9950248756218906,0.0
high_penalty,return_lstm_ppo,2,3.9202740695769203,6.91383478825161,6.854,13.574,6.864,0.98,0.9950248756218906,0.0
high_penalty,return_lstm_ppo,3,-2.0403428655866627,4.949584879040724,-4.002,8.694,4.002,1.0,0.014925373134328358,0.9800995024875622
high_penalty,return_lstm_ppo,4,-0.777982339995863,2.396766992378033,-0.098,2.97,1.24,0.485,0.0,0.9950248756218906
