penalty_calibration,policy,n_seeds,cross_seed_mean_final_realised_objective,cross_seed_sd_final_realised_objective,cross_seed_se_final_realised_objective,cross_seed_mean_time_avg_signed_inventory,cross_seed_sd_time_avg_signed_inventory,cross_seed_mean_time_avg_abs_inventory,cross_seed_sd_time_avg_abs_inventory,cross_seed_mean_integrated_squared_inventory,cross_seed_sd_integrated_squared_inventory,cross_seed_mean_rms_inventory,cross_seed_sd_rms_inventory,cross_seed_mean_max_abs_inventory,cross_seed_sd_max_abs_inventory,cross_seed_mean_terminal_inventory,cross_seed_sd_terminal_inventory,cross_seed_mean_abs_terminal_inventory,cross_seed_sd_abs_terminal_inventory,cross_seed_mean_squared_terminal_inventory,cross_seed_sd_squared_terminal_inventory,cross_seed_mean_n_inventory_boundary_contacts,cross_seed_sd_n_inventory_boundary_contacts,cross_seed_mean_total_bid_fills,cross_seed_sd_total_bid_fills,cross_seed_mean_total_ask_fills,cross_seed_sd_total_ask_fills,cross_seed_mean_total_fills,cross_seed_sd_total_fills,cross_seed_mean_terminal_mtm_wealth_pre_penalty,cross_seed_sd_terminal_mtm_wealth_pre_penalty,cross_seed_mean_running_penalty_contribution,cross_seed_sd_running_penalty_contribution,cross_seed_mean_terminal_penalty_contribution,cross_seed_sd_terminal_penalty_contribution,cross_seed_mean_mean_signed_inventory_event_weighted,cross_seed_sd_mean_signed_inventory_event_weighted,cross_seed_mean_mean_abs_inventory_event_weighted,cross_seed_sd_mean_abs_inventory_event_weighted,cross_seed_mean_fills,cross_seed_sd_fills,cross_seed_mean_raw_pnl,cross_seed_sd_raw_pnl,cross_seed_mean_full_objective,cross_seed_sd_full_objective,cross_seed_mean_running_penalty,cross_seed_sd_running_penalty,cross_seed_mean_terminal_penalty,cross_seed_sd_terminal_penalty
high_penalty,belief_weighted,1,43.03559461384857,0.0,1.1361897006070552,0.02339986944190391,0.0,1.9769053792135574,0.0,6.56036305396311,0.0,2.4457247886535685,0.0,5.604,0.0,-0.024,0.0,2.468,0.0,9.764,0.0,0.0,0.0,31.324,0.0,31.348,0.0,62.672,0.0,43.7892709192449,0.0,0.6560363053963111,0.0,0.09764000000000002,0.0,0.030214764964116184,0.0,1.9878494191201652,0.0,62.672,0.0,43.7892709192449,0.0,43.03559461384857,0.0,0.6560363053963111,0.0,0.09764000000000002,0.0
high_penalty,frozen_clone,1,42.91698243599602,0.0,1.1451797205280583,-0.002146644554761558,0.0,1.9852038275356654,0.0,6.63224909493972,0.0,2.4550811601265004,0.0,5.612,0.0,-0.038,0.0,2.426,0.0,9.446,0.0,0.0,0.0,31.32,0.0,31.358,0.0,62.678,0.0,43.674667345489986,0.0,0.663224909493972,0.0,0.09446,0.0,0.0032911313403172784,0.0,1.9952116249810519,0.0,62.678,0.0,43.674667345489986,0.0,42.91698243599602,0.0,0.663224909493972,0.0,0.09446,0.0
high_penalty,hamilton_ppo,5,37.79535583228892,2.769661515166029,1.238630284515261,2.399199576635109,2.014332017056626,4.213362267500031,1.3972974625451537,34.95166477776777,20.966677301463697,4.910175024075232,1.5802499655265403,8.952399999999999,2.608082207293321,3.2336,3.290473339809943,6.072799999999999,2.787444923222699,66.1424,48.79153150701462,0.0,0.0,23.4376,4.0947594312731,20.204,3.15571766797982,43.6416,6.5287060586306085,41.95194631006569,2.817790128848332,3.495166477776776,2.09666773014637,0.661424,0.4879153150701462,2.4109480876119096,2.016348504989632,4.235819431335116,1.3989364299158462,43.6416,6.5287060586306085,41.95194631006569,2.817790128848332,37.79535583228892,2.769661515166029,3.495166477776776,2.09666773014637,0.661424,0.4879153150701462
high_penalty,oracle,1,43.159052704262365,0.0,1.1400019577765437,0.02663704417846763,0.0,1.977962988578311,0.0,6.5724123955341565,0.0,2.447628487713343,0.0,5.6,0.0,-0.022,0.0,2.454,0.0,9.694,0.0,0.0,0.0,31.358,0.0,31.38,0.0,62.738,0.0,43.91323394381578,0.0,0.6572412395534156,0.0,0.09694,0.0,0.03331584252140592,0.0,1.988498203278936,0.0,62.738,0.0,43.91323394381578,0.0,43.159052704262365,0.0,0.6572412395534156,0.0,0.09694,0.0
high_penalty,return_lstm_ppo,5,37.00156361393458,4.257433185340072,1.9039820024167724,0.47635791960584284,2.5276360913571967,4.473360954427672,1.708640563396262,42.19603958075177,31.82384772078049,5.2666531760980275,1.9988280931716034,9.685599999999999,3.426409899588781,0.6232,4.583748596945518,7.606400000000001,3.965425677023842,102.8808,94.44329705807607,0.0,0.0,21.144399999999997,3.4653846539742164,20.5212,2.3762111017331775,41.665600000000005,3.781506154959951,42.24997557200977,1.9716759715575043,4.2196039580751785,3.1823847720780503,1.0288079999999997,0.9444329705807605,0.4838289053609996,2.5358089378196937,4.504034813250599,1.720938290282401,41.665600000000005,3.781506154959951,42.24997557200977,1.9716759715575043,37.00156361393458,4.257433185340072,4.2196039580751785,3.1823847720780503,1.0288079999999997,0.9444329705807605
high_penalty,return_mlp_ppo,5,34.77937968338432,3.9542723930655748,1.7684043744890785,-0.030537887492552686,4.491754921849665,5.031254681552492,1.1927455124739024,46.34558740422285,19.153998347518773,5.774290345057254,1.305330954228779,9.8324,1.9522594089925653,0.026800000000000247,7.033376657054562,7.8396,2.1940202369166975,95.4204,47.27768785378574,0.0,0.0,18.842399999999998,1.8995364697736128,18.8156,6.706943924023817,37.658,6.907552678047415,40.3681424238066,3.94816430662729,4.6345587404222846,1.9153998347518777,0.954204,0.4727768785378574,-0.023990377278842522,4.509907548677072,5.060905737156509,1.192482170690082,37.658,6.907552678047415,40.3681424238066,3.94816430662729,34.77937968338432,3.9542723930655748,4.6345587404222846,1.9153998347518777,0.954204,0.4727768785378574
original,belief_weighted,1,46.17458499910157,0.0,1.698295034951403,0.1396722636365706,0.0,3.14699571628185,0.0,17.425830029856158,0.0,3.7836612490800055,0.0,7.844,0.0,0.156,0.0,4.592,0.0,32.972,0.0,0.0,0.0,31.918,0.0,31.762,0.0,63.68,0.0,46.38181529940014,0.0,0.17425830029856154,0.0,0.032972,0.0,0.1450746483082197,0.0,3.169743376011877,0.0,63.68,0.0,46.38181529940014,0.0,46.17458499910157,0.0,0.17425830029856154,0.0,0.032972,0.0
original,frozen_clone,1,46.31374934404902,0.0,1.6878023786543854,0.11788755291921242,0.0,3.1441320588618527,0.0,17.39047219497939,0.0,3.7773266739052462,0.0,7.826,0.0,0.124,0.0,4.584,0.0,32.832,0.0,0.0,0.0,31.888,0.0,31.764,0.0,63.652,0.0,46.52048606599882,0.0,0.1739047219497939,0.0,0.03283200000000001,0.0,0.12347711965425781,0.0,3.16650564225838,0.0,63.652,0.0,46.52048606599882,0.0,46.31374934404902,0.0,0.1739047219497939,0.0,0.03283200000000001,0.0
original,hamilton_ppo,5,42.60655885169069,1.3037271540368722,0.5830445081077571,1.0597381412210956,1.2876285306252617,4.770523889376739,0.5257825730362791,43.4240531273036,10.249039171370667,5.696367215143608,0.6527958322407568,10.845600000000001,1.38928643554884,1.6019999999999999,2.6344794552245046,9.095600000000001,1.438664241579668,121.02919999999999,37.33611074014002,0.0,0.0,22.2,3.781781590732072,20.598000000000003,3.2758699607890422,42.798,6.567032054132217,43.161828582963736,1.3788282435084154,0.4342405312730359,0.1024903917137067,0.12102919999999999,0.037336110740140024,1.0604406746957173,1.2988711538747812,4.8090299968757195,0.5336349913028635,42.798,6.567032054132217,43.161828582963736,1.3788282435084154,42.60655885169069,1.3037271540368722,0.4342405312730359,0.1024903917137067,0.12102919999999999,0.037336110740140024
original,oracle,1,46.277432130897644,0.0,1.7175414144922796,0.13365708364174483,0.0,3.1611327059742207,0.0,17.55518866468194,0.0,3.798366513863637,0.0,7.856,0.0,0.148,0.0,4.592,0.0,33.092,0.0,0.0,0.0,31.936,0.0,31.788,0.0,63.724,0.0,46.48607601754446,0.0,0.17555188664681937,0.0,0.033092,0.0,0.1394171393326597,0.0,3.1820730189244477,0.0,63.724,0.0,46.48607601754446,0.0,46.277432130897644,0.0,0.17555188664681937,0.0,0.033092,0.0
