penalty_calibration,policy,learner_seed,n_paths,mean_time_avg_signed_inventory,mean_time_avg_abs_inventory,mean_integrated_squared_inventory,mean_rms_inventory,mean_max_abs_inventory,mean_terminal_inventory,mean_abs_terminal_inventory,mean_squared_terminal_inventory,mean_n_inventory_boundary_contacts,mean_total_bid_fills,mean_total_ask_fills,mean_total_fills,mean_terminal_mtm_wealth_pre_penalty,mean_running_penalty_contribution,mean_terminal_penalty_contribution,mean_final_realised_objective,mean_mean_signed_inventory_event_weighted,mean_mean_abs_inventory_event_weighted,mean_fills,mean_raw_pnl,mean_full_objective,mean_running_penalty,mean_terminal_penalty,sd_final_realised_objective,se_final_realised_objective
high_penalty,belief_weighted,,500,0.02339986944190391,1.9769053792135574,6.56036305396311,2.4457247886535685,5.604,-0.024,2.468,9.764,0.0,31.324,31.348,62.672,43.7892709192449,0.6560363053963111,0.09764000000000002,43.03559461384857,0.030214764964116184,1.9878494191201652,62.672,43.7892709192449,43.03559461384857,0.6560363053963111,0.09764000000000002,25.405974058925096,1.1361897006070552
high_penalty,frozen_clone,,500,-0.002146644554761558,1.9852038275356654,6.63224909493972,2.4550811601265004,5.612,-0.038,2.426,9.446,0.0,31.32,31.358,62.678,43.674667345489986,0.663224909493972,0.09446,42.91698243599602,0.0032911313403172784,1.9952116249810519,62.678,43.674667345489986,42.91698243599602,0.663224909493972,0.09446,25.6069970155495,1.1451797205280583
high_penalty,hamilton_ppo,0.0,500,3.9397739614388647,5.7959647843230195,59.182755814145956,6.54254258407608,10.956,2.312,6.82,75.244,0.0,28.154,25.842,53.996,46.10915581476655,5.918275581414596,0.7524400000000001,39.438440233351955,3.928962959699867,5.806749926289451,53.996,46.10915581476655,39.438440233351955,5.918275581414596,0.7524400000000001,71.4992561663107,3.1975439425708347
high_penalty,hamilton_ppo,1.0,500,1.8485849233814984,2.4442590991000515,9.721829638570911,2.885595460684033,5.646,1.988,2.572,10.144,0.0,20.936,18.948,39.884,39.48616338121028,0.9721829638570911,0.10144000000000002,38.4125404173532,1.8639703361711026,2.460861244528244,39.884,39.48616338121028,38.4125404173532,0.9721829638570911,0.10144000000000002,30.626375328090393,1.3696531427606509
high_penalty,hamilton_ppo,2.0,500,4.093275858171488,4.865249496468983,43.61953300656409,5.690339225215998,10.368,6.414,7.658,90.254,0.0,24.956,18.542,43.498,42.63603319743389,4.361953300656409,0.90254,37.37153989677749,4.113575990096191,4.892592029293129,43.498,42.63603319743389,37.37153989677749,4.361953300656409,0.90254,64.85315529427916,2.9003212758671717
high_penalty,hamilton_ppo,3.0,500,2.938892076629684,4.886802179868353,45.7829849287637,5.843430915548685,11.16,6.618,9.402,129.798,0.0,25.398,18.78,44.178,39.16609985220651,4.57829849287637,1.29798,33.28982135933013,2.9696243810333955,4.924857851732606,44.178,39.16609985220651,33.28982135933013,4.57829849287637,1.29798,68.0666200468239,3.044031788466963
high_penalty,hamilton_ppo,4.0,500,-0.82452893644599,3.074535777739749,16.451220500794168,3.588966934851363,6.632,-1.164,3.912,25.272,0.0,17.744,18.908,36.652,42.36227930471125,1.6451220500794166,0.25271999999999994,40.46443725463183,-0.8213932289410079,3.094036104832151,36.652,42.36227930471125,40.46443725463183,1.6451220500794166,0.25271999999999994,40.66879877389928,1.818763972433978
high_penalty,oracle,,500,0.02663704417846763,1.977962988578311,6.5724123955341565,2.447628487713343,5.6,-0.022,2.454,9.694,0.0,31.358,31.38,62.738,43.91323394381578,0.6572412395534156,0.09694,43.159052704262365,0.03331584252140592,1.988498203278936,62.738,43.91323394381578,43.159052704262365,0.6572412395534156,0.09694,25.491218720711966,1.1400019577765437
high_penalty,return_lstm_ppo,0.0,500,-1.0533842003657843,3.409112323082556,21.253975842556194,4.054951601673415,7.806,-3.204,5.48,46.58,0.0,19.648,22.852,42.5,44.14306632243273,2.1253975842556203,0.4658,41.551868738177106,-1.0528116280048447,3.4308408327461515,42.5,44.14306632243273,41.551868738177106,2.1253975842556203,0.4658,45.55139332255732,2.0371202387813634
high_penalty,return_lstm_ppo,1.0,500,2.333224934400605,4.697505789385436,40.993713763237785,5.430763174474489,9.57,3.566,7.314,83.87,0.0,23.742,20.176,43.918,42.80691065472817,4.099371376323778,0.8387,37.868839278404394,2.3433599179191975,4.726876341759546,43.918,42.80691065472817,37.868839278404394,4.099371376323778,0.8387,62.759039294540734,2.8066695613034702
high_penalty,return_lstm_ppo,2.0,500,3.92027406957692,6.91383478825161,92.88053110185105,8.180597696687908,14.904,6.854,13.574,258.278,0.0,25.782,18.928,44.71,41.82299330492254,9.288053110185109,2.5827799999999996,29.952160194737434,3.939114713639814,6.960163517275387,44.71,41.82299330492254,29.952160194737434,9.288053110185109,2.5827799999999996,97.16839957314065,4.34550293420808
high_penalty,return_lstm_ppo,3.0,500,-2.0403428655866627,4.949584879040724,45.742092593961736,5.791796432367908,10.418,-4.002,8.694,111.786,0.0,19.008,23.01,42.018,43.40955820610383,4.574209259396174,1.1178599999999999,37.71748894670765,-2.0478633601162284,4.990193589543271,42.018,43.40955820610383,37.71748894670765,4.574209259396174,1.1178599999999999,68.96780651188094,3.0843340723923687
high_penalty,return_lstm_ppo,4.0,500,-0.777982339995863,2.396766992378033,10.109884602152118,2.875156975286414,5.73,-0.098,2.97,13.89,0.0,17.542,17.64,35.182,39.067349371861546,1.010988460215212,0.13889999999999997,37.91746091164632,-0.7626551166329407,2.4120997849286385,35.182,39.067349371861546,37.91746091164632,1.010988460215212,0.13889999999999997,32.56979923300249,1.4565657019702816
high_penalty,return_mlp_ppo,0.0,500,-3.2203825358702707,5.566193988010835,61.476580906639484,6.515055735724504,11.568,-6.294,10.106,157.566,0.0,16.878,23.172,40.05,42.0106684705038,6.14765809066395,1.5756599999999998,34.28735037983984,-3.2380660424794754,5.612358470892908,40.05,42.0106684705038,34.28735037983984,6.14765809066395,1.5756599999999998,81.52737783631007,3.6460151773859804
high_penalty,return_mlp_ppo,1.0,500,-0.0746251289320739,3.0629724924032877,16.342882331871568,3.606718802506908,6.808,-0.708,4.3,28.528,0.0,19.572,20.28,39.852,41.525518040365235,1.6342882331871567,0.28528,39.605949807178085,-0.0764005943887089,3.0887367226803173,39.852,41.525518040365235,39.605949807178085,1.6342882331871567,0.28528,38.617301101775865,1.7270182074229672
