episode,policy,raw_pnl,running_inventory_penalty,terminal_inventory_penalty,full_objective,mean_absolute_inventory,terminal_absolute_inventory,total_fills,spread_revenue,adverse_selection_loss,steps_taken,env_reward_sum,reconciliation_abs_diff
0,oracle,47.38018872860579,0.13359999999999414,0.016,47.230588728605795,3.2405,4.0,68.0,62.43516426387896,14.51029736217921,4000,47.23058872860713,1.3358203432289883e-12
0,naive,55.386854506647296,0.23534749999999557,0.081,55.0705070066473,3.84925,9.0,81.0,74.24999999999999,24.01519270132823,4000,55.07050700664645,8.455458555545192e-13
1,oracle,16.90987887444453,0.34213249999999873,0.121,16.446746374444533,4.42075,11.0,61.0,54.08258192549688,9.995296310729458,4000,16.446746374444697,1.6342482922482304e-13
1,naive,21.799130919595655,0.1318950000000015,0.036000000000000004,21.631235919595653,3.0145,6.0,62.0,56.833333333333286,14.828173887445212,4000,21.63123591959574,8.526512829121202e-14
2,oracle,30.8815881229515,0.0443400000000017,0.001,30.836248122951496,1.7065,1.0,59.0,59.86387686602267,23.044239032879346,4000,30.836248122949723,1.77280412572145e-12
2,naive,90.40703772230358,0.08938999999999858,0.016,90.30164772230358,2.6975,4.0,78.0,71.49999999999997,33.47220982627056,4000,90.30164772230285,7.389644451905042e-13
3,oracle,46.39815729847646,0.07876500000000006,0.001,46.31839229847647,2.285,1.0,65.0,61.82045605681816,15.327906769475097,4000,46.31839229847518,1.2860823517257813e-12
3,naive,-21.609399892418196,0.8959849999999977,0.225,-22.730384892418193,8.345,15.0,79.0,72.41666666666664,28.14324347974542,4000,-22.730384892418726,5.329070518200751e-13
4,oracle,67.64757650818274,0.23683999999999952,0.14400000000000002,67.26673650818273,3.751,12.0,60.0,58.82904236504666,21.729196195558885,4000,67.26673650818081,1.9184653865522705e-12
4,naive,62.02886723840186,0.19516750000000072,0.064,61.769699738401854,3.50975,8.0,64.0,58.666666666666615,28.265935750149207,4000,61.76969973840151,3.410605131648481e-13
5,oracle,53.036927698985295,0.05529500000000439,0.004,52.977632698985296,1.953,2.0,48.0,50.02192431299324,16.273563880864483,4000,52.97763269898387,1.4281908988778014e-12
5,naive,60.20225807839017,0.17367499999999672,0.049,59.97958307839018,3.313,7.0,65.0,59.58333333333328,29.78454944838682,4000,59.97958307839074,5.613287612504791e-13
6,oracle,44.24263842268721,0.0535650000000037,0.009000000000000001,44.1800734226872,1.6375,3.0,61.0,61.190149302261695,17.510178936570394,4000,44.18007342268613,1.0729195309977513e-12
6,naive,88.59400383258156,0.10934249999999898,0.016,88.46866133258156,2.97275,4.0,74.0,67.83333333333329,26.084883606190015,4000,88.46866133258227,7.105427357601002e-13
7,oracle,109.21018534678478,0.12687499999999896,0.025,109.05831034678478,3.0665,5.0,69.0,73.62443956288574,31.204257655346563,4000,109.05831034678326,1.5205614545266144e-12
7,naive,79.00555829386718,0.1749475000000029,0.009000000000000001,78.82161079386718,3.29975,3.0,85.0,77.91666666666667,42.414727635917124,4000,78.82161079386695,2.2737367544323206e-13
