agent_type,environment_type,learner_seed,run_tag,status
hamilton_ppo,fixed,0,offlinecv_env70000_learner_0,reused_not_retrained
hamilton_ppo,event,0,phase3_event_env70000_learner_0,complete
hamilton_ppo,fixed,1,offlinecv_env70000_learner_1,reused_not_retrained
hamilton_ppo,event,1,phase3_event_env70000_learner_1,complete
hamilton_ppo,fixed,2,offlinecv_env70000_learner_2,reused_not_retrained
hamilton_ppo,event,2,phase3_event_env70000_learner_2,complete
hamilton_ppo,fixed,3,offlinecv_env70000_learner_3,reused_not_retrained
hamilton_ppo,event,3,phase3_event_env70000_learner_3,complete
hamilton_ppo,fixed,4,offlinecv_env70000_learner_4,reused_not_retrained
hamilton_ppo,event,4,phase3_event_env70000_learner_4,complete
return_mlp_ppo,fixed,0,offlinecv_env70000_learner_0,reused_not_retrained
return_mlp_ppo,event,0,phase3_event_env70000_learner_0,complete
return_mlp_ppo,fixed,1,offlinecv_env70000_learner_1,reused_not_retrained
return_mlp_ppo,event,1,phase3_event_env70000_learner_1,complete
return_mlp_ppo,fixed,2,offlinecv_env70000_learner_2,reused_not_retrained
return_mlp_ppo,event,2,phase3_event_env70000_learner_2,complete
return_mlp_ppo,fixed,3,offlinecv_env70000_learner_3,reused_not_retrained
return_mlp_ppo,event,3,phase3_event_env70000_learner_3,complete
return_mlp_ppo,fixed,4,offlinecv_env70000_learner_4,reused_not_retrained
return_mlp_ppo,event,4,phase3_event_env70000_learner_4,complete
return_lstm_ppo,fixed,0,offlinecv_env70000_learner_0,reused_not_retrained
return_lstm_ppo,event,0,phase3_event_env70000_learner_0,complete
return_lstm_ppo,fixed,1,offlinecv_env70000_learner_1,reused_not_retrained
return_lstm_ppo,event,1,phase3_event_env70000_learner_1,complete
return_lstm_ppo,fixed,2,offlinecv_env70000_learner_2,reused_not_retrained
return_lstm_ppo,event,2,phase3_event_env70000_learner_2,complete
return_lstm_ppo,fixed,3,offlinecv_env70000_learner_3,reused_not_retrained
return_lstm_ppo,event,3,phase3_event_env70000_learner_3,complete
return_lstm_ppo,fixed,4,offlinecv_env70000_learner_4,reused_not_retrained
return_lstm_ppo,event,4,phase3_event_env70000_learner_4,complete
