environment_type,agent_type,learner_seed,n_episodes,mean_full_objective,std_full_objective,se_full_objective,loss_rate,mean_raw_pnl,mean_quoted_spread,median_quoted_spread,mean_fills,mean_abs_inventory,mean_signed_inventory,mean_terminal_abs_inventory,mean_terminal_signed_inventory,mean_running_penalty,mean_terminal_penalty,mean_adverse_selection_loss,mean_return_on_turnover_pct,max_reward_reconciliation_error
fixed,oracle,,200,42.63377310247535,39.27936558044558,2.7774705762638536,0.125,42.84337316497535,2.0552279289015214,2.0765158046182215,64.635,3.2131662500000004,-1.06054125,4.705,-1.815,0.17621506249999938,0.033385000000000005,17.00355988898308,0.6657075579942024,6.195932655828074e-12
fixed,belief_weighted,,200,41.97666532136074,39.36704921468175,2.7836707455006016,0.135,42.18544017136074,2.0576788868419937,2.0755344335474426,63.77,3.2100524999999998,-0.9897,4.7,-1.69,0.1755548499999994,0.03322,17.995503605548965,0.6685224338902225,6.30961949354969e-12
fixed,randomised,,200,41.72998225356185,41.06926681059245,2.9040357060129534,0.14,41.94147210356184,2.057708128324829,2.074382798300169,64.73,3.2543775,-1.0658325,4.81,-1.73,0.17675984999999936,0.034730000000000004,18.209367980510265,0.6576499595852843,9.663381206337364e-12
fixed,naive,,200,39.63625931855919,59.04706523349781,4.175258023577073,0.155,40.05851946855919,1.8333333333333326,1.8333333333333328,70.81,4.31217,-1.173515,6.7,-2.29,0.34969014999999715,0.07257,24.792298346980644,0.5750478359430988,1.1425527191022413e-11
fixed,hamilton_ppo,0.0,200,34.39470350247385,52.009271297379385,3.677610841894783,0.18,34.78775801497385,2.8580478061564545,2.85491211736613,30.42,4.33583625,-3.66281875,7.03,-6.32,0.3240245124999967,0.06903000000000001,10.295776783756255,1.2116885969630298,6.0538241086760536e-12
fixed,hamilton_ppo,1.0,200,34.56641403329345,53.6994059636475,3.797121410258448,0.285,34.86830937079346,3.1959323975838423,3.202693530152148,30.76,4.57776625,4.52444375,4.0,3.85,0.2797953375000008,0.022099999999999998,9.770293371383886,1.093827147988882,1.1667111721180843e-11
fixed,hamilton_ppo,2.0,200,32.84184148934884,67.55060069406333,4.776548782399688,0.31,33.299417714348834,3.3805964086029574,3.390374759167173,32.495,5.5985525,5.575169999999999,6.345,6.345,0.4089612249999978,0.048615000000000005,11.589076339631173,1.0026291847003326,1.6996182239381596e-11
fixed,hamilton_ppo,3.0,200,24.12418385116046,184.30937448588028,13.032640853521679,0.445,28.17790613866042,4.587110401583873,4.593755641174447,35.265,15.191308749999997,15.18486875,28.135,28.135,3.220177287499962,0.833545,12.565428350182456,0.8712255133924002,1.602984411874786e-11
fixed,hamilton_ppo,4.0,200,30.31838680413729,29.639055660269502,2.0957977245342088,0.125,30.43754911663729,3.2501462959334715,3.2509345299583243,19.58,2.24710125,0.8805987500000001,3.49,1.47,0.09872231249999944,0.02044,6.4196672112060575,1.5349971982959638,8.810729923425242e-12
fixed,return_mlp_ppo,0.0,200,19.33172055134773,328.03560052407795,23.19561976011769,0.48,32.51787176384765,4.342279272863401,4.364077532073438,69.355,26.821193750000003,26.77070125,50.905,50.865,10.458136212499916,2.7280150000000005,24.373709457253444,0.49531652101275603,1.9440449250396335e-11
fixed,return_mlp_ppo,1.0,200,34.472242497107345,29.56483067758003,2.090549225674891,0.1,34.56545305960734,3.1962496330940384,3.208300975848757,31.565,2.23354125,1.7430862500000002,2.875,2.645,0.08128556249999963,0.011925000000000002,11.095853830783176,1.0823985918608563,5.094591415399918e-12
fixed,return_mlp_ppo,2.0,200,32.01855136695597,37.84444752248817,2.676006547340982,0.175,32.172104854455974,3.3191413281956677,3.32282241987215,26.735,3.05236375,2.93439625,2.705,2.435,0.14265848749999907,0.010895000000000002,9.318338851497153,1.204877044900508,5.016431714466307e-12
fixed,return_mlp_ppo,3.0,200,31.761195281533436,41.98755809815818,2.9689687056671787,0.14,31.966916506533433,3.2380682210903586,3.239430781450356,26.585,3.0098325,1.4415825,4.645,2.385,0.170456224999998,0.035265000000000005,9.342429058187044,1.2028382980359325,5.7127635955112055e-12
fixed,return_mlp_ppo,4.0,200,29.63908780516288,58.656674471218736,4.147653228045061,0.17,30.112238392662874,3.0254734206903016,3.0470666818429653,23.915,3.6621237499999997,-1.25861125,8.075,-3.735,0.3464355874999972,0.126715,8.309472689913594,1.4776246514189058,7.702283255639486e-12
fixed,return_lstm_ppo,0.0,200,-11.651782637098384,483.3093486572993,34.17513178464297,0.505,16.026373650401627,4.212044211610479,4.212235512827242,109.275,40.869561250000004,40.864593750000004,74.635,74.635,22.001941287500014,5.676215,38.66411794670332,0.1824009909044287,3.4788172342814505e-11
fixed,return_lstm_ppo,1.0,200,33.309137969996954,91.27323072270254,6.4539920384827285,0.32,34.241660382496946,3.661439275668087,3.6644872801723567,33.165,6.79819875,6.64112625,12.925,12.905,0.7341074124999902,0.198415,11.497640159513251,1.0292826807005633,7.418066161335446e-12
fixed,return_lstm_ppo,2.0,200,30.67143019094327,34.84875580610545,2.4641791546411236,0.13,30.846827203443272,2.934495933876859,2.934409359345884,23.185,2.86443375,-1.8230812500000002,4.395,-3.275,0.14627201249999888,0.029125,8.107047875433992,1.3747388242702265,7.432277016050648e-12
fixed,return_lstm_ppo,3.0,200,34.8248182458495,46.49143086726127,3.2874406033306016,0.18,35.0542426833495,3.287836449417425,3.2857774644367588,34.49,3.4670112500000005,3.0203087500000003,4.91,4.52,0.19521443749999787,0.034210000000000004,12.094310669366717,1.0012566418478468,8.526512829121202e-12
fixed,return_lstm_ppo,4.0,200,36.57443116650161,95.48597996041418,6.751878393825165,0.29,37.51842560400161,3.492797693735112,3.4938024958585783,42.995,7.003601249999999,6.81255625,12.115,12.065,0.7645494374999919,0.17944500000000002,15.08073537295641,0.8412411466680458,1.8189894035458565e-11
event,oracle,,200,45.21080327973081,42.23541589686367,2.986494898690641,0.12,45.44622768207212,2.032163036735725,2.045851815024583,65.235,3.448350902947319,0.03541999605950531,4.895,0.095,0.1986294023413064,0.036795,16.70405230224839,0.7134586132069812,1.2789769243681806e-13
event,belief_weighted,,200,45.036444596024324,42.068710227112376,2.9747070277363026,0.125,45.271823622490814,2.0321560081156287,2.0447668975646893,65.24,3.4451294430222985,0.04683556570578872,4.9,0.04,0.19843902646648445,0.03694,16.79522469440196,0.7109124839561286,1.2789769243681806e-13
event,randomised,,200,45.138055843648665,42.04249339040723,2.9728532174347553,0.12,45.375031764575105,2.0318224823465725,2.0442517651423877,65.27,3.4442415580975934,0.023567724056381304,4.9,0.07,0.19959592092644507,0.03738,16.796962314948903,0.7134369481937267,1.2789769243681806e-13
event,naive,,200,44.46448250116773,64.2126739681626,4.540521720100867,0.185,44.95030940320206,1.8333333333333273,1.8333333333333264,70.75,4.847852718288129,-0.3042332331475949,7.43,-0.41,0.4014969020343313,0.08433,23.918351838884735,0.647585258349448,1.7053025658242404e-13
event,hamilton_ppo,0.0,200,34.1541027561894,51.46056378211691,3.638811361401771,0.175,34.53991853383731,3.443571485510666,3.458618545405882,23.01,3.8697416881812434,-1.5810406125816916,7.4,-3.06,0.30036577764790806,0.08544999999999998,6.192032372294668,1.5881690258604533,1.7053025658242404e-13
event,hamilton_ppo,1.0,200,35.8626221782569,31.467411183246714,2.2250819834059152,0.125,35.98010171238988,3.0090230647123497,3.008158553872863,29.925,2.467835797262178,0.940935786208307,2.875,0.985,0.10332453413298616,0.014155000000000003,9.673335390113,1.2007085209753947,2.557953848736361e-13
event,hamilton_ppo,2.0,200,32.4027655268463,37.19460219827483,2.63005554379362,0.155,32.56911669369022,3.1059086586846014,3.1074409160882417,27.55,2.837219080477199,1.7188460568598833,4.11,3.14,0.1386611668439175,0.027690000000000003,9.276682594772973,1.168369749305455,1.4210854715202006e-13
event,hamilton_ppo,3.0,200,33.81495992551094,36.6603121826835,2.59227553447913,0.145,33.953070435359045,3.182711183611025,3.190502558304024,25.955,2.6236268664777675,-0.5680449718016767,3.845,-0.835,0.1170355098481087,0.021075000000000003,8.532614787710857,1.3193776691824113,1.1368683772161605e-13
