q,tau,belief,policy,bid_depth,ask_depth,bid_action,ask_action
-40.0,0.0,0.0,analytical,0.5874752897456392,0.7478628878186344,-0.6172940851134323,-0.5128109119002047
-40.0,0.0,0.0,fixed_seed0,1.5476568704551668,1.4546321418170745,0.00820825807750225,-0.052391931414604076
-40.0,0.0,0.0,fixed_seed1,0.9131004570737594,1.9461089675203431,-0.4051682651042938,0.26777657866477966
-40.0,0.0,0.0,fixed_seed2,1.0376264766026313,2.1811990964786827,-0.3240468204021454,0.4209240972995758
-40.0,0.0,0.0,fixed_seed3,1.6137769985604489,1.3119584069284356,0.05128166824579239,-0.14533555507659912
-40.0,0.0,0.0,fixed_seed4,1.4485461370158064,1.4341824085511852,-0.056356608867645264,-0.06571374088525772
-40.0,0.0,0.0,event_seed0,1.7711063129097413,0.9039243177316172,0.15377254784107208,-0.41114598512649536
-40.0,0.0,0.0,event_seed1,1.0649709866419035,1.5532154479075473,-0.3062334656715394,0.011829347349703312
-40.0,0.0,0.0,event_seed2,1.3636705193984957,1.5815726856494339,-0.11164812743663799,0.030302435159683228
-40.0,0.0,0.0,event_seed3,1.6246034147236394,1.7103338270581094,0.05833444744348526,0.11418281495571136
-40.0,0.0,0.0,event_seed4,0.6705728969722289,1.068417065484781,-0.5631608366966248,-0.3039885461330414
-38.0,0.0,0.0,analytical,0.5914849783718142,0.7438531993015207,-0.6146820066466852,-0.5154229902959047
-38.0,0.0,0.0,fixed_seed0,1.5476625947056377,1.4546551531895964,0.008211987093091011,-0.052376940846443176
-38.0,0.0,0.0,fixed_seed1,0.9132447928198966,1.9460101512884393,-0.40507423877716064,0.26771220564842224
-38.0,0.0,0.0,fixed_seed2,1.037739337548977,2.181048813459329,-0.32397329807281494,0.4208261966705322
-38.0,0.0,0.0,fixed_seed3,1.6137049107468273,1.312094302121431,0.05123470723628998,-0.14524702727794647
-38.0,0.0,0.0,fixed_seed4,1.4485788584555606,1.4342254347854932,-0.056335292756557465,-0.0656857118010521
-38.0,0.0,0.0,event_seed0,1.7710458565900835,0.9040701174219308,0.15373316407203674,-0.4110510051250458
-38.0,0.0,0.0,event_seed1,1.0650860435045137,1.5532100124429395,-0.30615851283073425,0.011825806461274624
-38.0,0.0,0.0,event_seed2,1.3637183491996325,1.5815588039131523,-0.11161696910858154,0.03029339201748371
-38.0,0.0,0.0,event_seed3,1.6245813526274193,1.7102822802112123,0.058320075273513794,0.11414923518896103
-38.0,0.0,0.0,event_seed4,0.6707794960941166,1.068507830023715,-0.5630262494087219,-0.3039294183254242
-36.0,0.0,0.0,analytical,0.595494667207686,0.7398435105690936,-0.612069928043333,-0.5180350688318687
-36.0,0.0,0.0,fixed_seed0,1.5476711367627214,1.4546894643812296,0.008217551745474339,-0.052354589104652405
-36.0,0.0,0.0,fixed_seed1,0.9134601756068425,1.9458628419056938,-0.4049339294433594,0.26761624217033386
-36.0,0.0,0.0,fixed_seed2,1.0379076911292573,2.1808246927555808,-0.32386362552642833,0.42068019509315513
-36.0,0.0,0.0,fixed_seed3,1.6135974023463764,1.3122969897674726,0.051164671778678894,-0.1451149880886078
-36.0,0.0,0.0,fixed_seed4,1.4486276604071269,1.4342895852767836,-0.0563035011291505,-0.06564392149448395
-36.0,0.0,0.0,event_seed0,1.7709556867784713,0.9042875588803746,0.1536744236946106,-0.41090935468673706
-36.0,0.0,0.0,event_seed1,1.065257690959191,1.5532018992757513,-0.3060466945171356,0.011820521205663681
-36.0,0.0,0.0,event_seed2,1.3637896707299741,1.5815380971090016,-0.11157050728797913,0.03027990274131298
-36.0,0.0,0.0,event_seed3,1.6245484367575793,1.7102053888307622,0.05829863250255585,0.11409914493560791
-36.0,0.0,0.0,event_seed4,0.6710875648467277,1.0686431533635166,-0.5628255605697632,-0.3038412630558014
-34.0,0.0,0.0,analytical,0.5995043562420278,0.7358338216325837,-0.609457849310689,-0.5206471475007808
-34.0,0.0,0.0,fixed_seed0,1.5476838676444502,1.4547406223679549,0.00822584517300129,-0.052321262657642365
-34.0,0.0,0.0,fixed_seed1,0.9137813283605297,1.945642975789708,-0.40472471714019775,0.2674730122089386
-34.0,0.0,0.0,fixed_seed2,1.0381587118072464,2.1804904102525615,-0.3237001001834868,0.420462429523468
-34.0,0.0,0.0,fixed_seed3,1.613437089022002,1.312599225617506,0.05106023699045181,-0.14491809904575337
-34.0,0.0,0.0,fixed_seed4,1.448700434444581,1.434385267753185,-0.056256093084812164,-0.06558158993720997
-34.0,0.0,0.0,event_seed0,1.7708212097813967,0.9046118682636921,0.15358681976795197,-0.4106980860233307
-34.0,0.0,0.0,event_seed1,1.0655136981970306,1.5531898031510674,-0.3058799207210542,0.01181264128535986
-34.0,0.0,0.0,event_seed2,1.3638959896757819,1.5815072198957976,-0.11150124669075012,0.030259788036346436
-34.0,0.0,0.0,event_seed3,1.624499348879416,1.71009070939126,0.05826665461063385,0.11402443796396255
-34.0,0.0,0.0,event_seed4,0.6715471518215913,1.0688450404150867,-0.5625261664390564,-0.3037097454071045
-32.0,0.0,0.0,analytical,0.6035140454636191,0.7318241325032151,-0.606845770456063,-0.5232592262953293
-32.0,0.0,0.0,fixed_seed0,1.5477028474519554,1.4548169133025515,0.008238209411501884,-0.05227156355977047
-32.0,0.0,0.0,fixed_seed1,0.9142602668474744,1.9453151437907161,-0.40441271662712097,0.2672594487667084
-32.0,0.0,0.0,fixed_seed2,1.0385330240338373,2.179991937260514,-0.3234562575817108,0.4201377034187317
-32.0,0.0,0.0,fixed_seed3,1.6131981001352125,1.3130498230601617,0.05090454965829849,-0.14462456107139587
-32.0,0.0,0.0,fixed_seed4,1.4488089493066532,1.4345279222509322,-0.05618540197610855,-0.06548865884542454
-32.0,0.0,0.0,event_seed0,1.7706206951774919,0.9050953358279324,0.1534561961889267,-0.4103831350803375
-32.0,0.0,0.0,event_seed1,1.065895375892759,1.5531717626124333,-0.30563127994537354,0.011800888925790787
-32.0,0.0,0.0,event_seed2,1.364054541692319,1.5814612028692856,-0.11139795929193497,0.030229810625314713
-32.0,0.0,0.0,event_seed3,1.6244261631076622,1.7099197481604154,0.058218978345394135,0.11391306668519974
-32.0,0.0,0.0,event_seed4,0.6722324606891462,1.069146063936349,-0.5620797276496887,-0.30351364612579346
-30.0,0.0,0.0,analytical,0.6075237348612463,0.7278144431922043,-0.6042336914867596,-0.5258713052082069
-30.0,0.0,0.0,fixed_seed0,1.547731137029457,1.454930626310156,0.008256638422608376,-0.05219748616218556
-30.0,0.0,0.0,fixed_seed1,0.9149743971160013,1.944826415177092,-0.40394750237464905,0.2669410705566406
