agent_type,environment_type,learner_seed,n_steps,realised_fill_rate_per_step,mean_bid_depth,mean_ask_depth,mean_quoted_spread,mean_p_fill_bid,mean_p_fill_ask,mean_p_fill_total,inventory_mean,inventory_std,inventory_n,"inventory_hist_[-50,-45)","inventory_hist_[-45,-40)","inventory_hist_[-40,-35)","inventory_hist_[-35,-30)","inventory_hist_[-30,-25)","inventory_hist_[-25,-20)","inventory_hist_[-20,-15)","inventory_hist_[-15,-10)","inventory_hist_[-10,-5)","inventory_hist_[-5,0)","inventory_hist_[0,5)","inventory_hist_[5,10)","inventory_hist_[10,15)","inventory_hist_[15,20)","inventory_hist_[20,25)","inventory_hist_[25,30)","inventory_hist_[30,35)","inventory_hist_[35,40)","inventory_hist_[40,45)","inventory_hist_[45,50)",belief_mean,belief_std,belief_n,"belief_hist_[0,0.1)","belief_hist_[0.1,0.2)","belief_hist_[0.2,0.3)","belief_hist_[0.3,0.4)","belief_hist_[0.4,0.5)","belief_hist_[0.5,0.6)","belief_hist_[0.6,0.7)","belief_hist_[0.7,0.8)","belief_hist_[0.8,0.9)","belief_hist_[0.9,1)",remaining_time_mean,remaining_time_std,remaining_time_n,"remaining_time_hist_[0,0.1)","remaining_time_hist_[0.1,0.2)","remaining_time_hist_[0.2,0.3)","remaining_time_hist_[0.3,0.4)","remaining_time_hist_[0.4,0.5)","remaining_time_hist_[0.5,0.6)","remaining_time_hist_[0.6,0.7)","remaining_time_hist_[0.7,0.8)","remaining_time_hist_[0.8,0.9)","remaining_time_hist_[0.9,1)"
belief_weighted,fixed,,200000,0.0155,1.0270941561141969,1.0332542876431325,2.0603484437573667,0.22556332803255946,0.22331879310795433,0.44888212114051823,-0.232855,3.9957118951414654,200000,0,0,0,0,0,0,53,4103,14374,69638,89909,20890,1033,0,0,0,0,0,0,0,0.7178630512340509,0.40243269991057445,200000,47098,2114,1539,1373,1462,1864,2410,3964,8831,129345,0.5001249999999999,0.28867512557369346,200000,20000,20000,19950,20000,20000,20050,20000,19950,20000,20050
belief_weighted,event,,14230,0.2361208713984539,1.001809183785601,1.00804085296341,2.009850036749001,0.2380710339597989,0.2357888532326018,0.473859887192401,-0.5439212930428672,4.516978582630379,14230,0,0,0,0,0,0,35,322,1473,4966,5679,1590,165,0,0,0,0,0,0,0,0.6673993696908987,0.4686020530692131,14230,4641,64,24,7,6,3,4,51,1,9429,0.5042873516340092,0.2881199623022523,14230,1332,1424,1481,1397,1406,1388,1475,1433,1425,1469
hamilton_ppo,fixed,0.0,200000,0.00741,1.6050721743394336,1.396643321773507,3.0017154961128787,0.0904261801830886,0.1236963285370953,0.2141225087201772,-2.823695,4.324245777817792,200000,0,0,0,0,0,0,973,7837,43466,81117,62709,3839,59,0,0,0,0,0,0,0,0.7178831205073779,0.4024745150238162,200000,47106,2115,1539,1373,1463,1864,2410,3914,8835,129381,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
hamilton_ppo,event,0.0,14230,0.0808854532677442,1.7823790036546088,1.6369142460260255,3.419293249680621,0.0702909588421199,0.0979048930288061,0.1681958518709251,-2.0768798313422345,5.70051281405932,14230,0,0,0,0,13,172,383,561,1767,4968,5459,749,158,0,0,0,0,0,0,0,0.6672293365307044,0.4693647953712487,14230,4657,65,24,7,6,3,4,1,1,9462,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
hamilton_ppo,fixed,1.0,200000,0.007415,1.4794794600828527,1.592339219830212,3.071818679913071,0.126019686183835,0.0937400068886959,0.2197596930725293,4.705065,2.850443534921363,200000,0,0,0,0,0,0,0,0,0,3500,91700,93785,11015,0,0,0,0,0,0,0,0.7178831205073779,0.4024745150238162,200000,47106,2115,1539,1373,1463,1864,2410,3914,8835,129381,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
hamilton_ppo,event,1.0,14230,0.1040056219255094,1.4789145421320558,1.517140350299102,2.996054892431145,0.1122304088521705,0.1027531390523093,0.2149835479044788,0.6811665495432185,3.282852793238148,14230,0,0,0,0,0,0,0,52,382,4249,7707,1840,0,0,0,0,0,0,0,0,0.6672293365307044,0.4693647953712487,14230,4657,65,24,7,6,3,4,1,1,9462,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
hamilton_ppo,fixed,2.0,200000,0.00788,1.3413632811418867,1.6292487189371656,2.970612000079026,0.140738834773464,0.0919921501183947,0.232730984891849,5.97543,3.46087652410484,200000,0,0,0,0,0,0,0,0,0,2388,69062,96155,29988,2407,0,0,0,0,0,0,0.7178831205073779,0.4024745150238162,200000,47106,2115,1539,1373,1463,1864,2410,3914,8835,129381,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
hamilton_ppo,event,2.0,14230,0.0957835558678847,1.4767690327973362,1.6264714577012946,3.1032404904986284,0.1098578021655192,0.087382612360242,0.1972404145257626,1.3177793394237527,3.4450306601351115,14230,0,0,0,0,0,0,0,0,303,3388,8235,2172,132,0,0,0,0,0,0,0,0.6672293365307044,0.4693647953712487,14230,4657,65,24,7,6,3,4,1,1,9462,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
hamilton_ppo,fixed,3.0,200000,0.008805,0.9756370984281756,2.4879280431391995,3.463565141567416,0.2326437566377395,0.0242880459232782,0.2569318025610259,15.099475,9.843036610943548,200000,0,0,0,0,0,0,0,0,0,1781,32875,30813,33802,34103,28321,21294,12328,3435,1248,0,0.7178831205073779,0.4024745150238162,200000,47106,2115,1539,1373,1463,1864,2410,3914,8835,129381,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
hamilton_ppo,event,3.0,14230,0.089599437807449,1.6165856972631172,1.5697457359681306,3.186331433231237,0.0886141511485788,0.0953128479686993,0.183926999117278,-0.8060435699226985,3.494264754392093,14230,0,0,0,0,0,0,0,71,1266,5850,6127,905,11,0,0,0,0,0,0,0,0.6672293365307044,0.4693647953712487,14230,4657,65,24,7,6,3,4,1,1,9462,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
hamilton_ppo,fixed,4.0,200000,0.004815,1.6930781579727976,1.8747904693161792,3.5678686272891,0.0792017260099944,0.0607801210234081,0.1399818470333999,1.44193,2.9670351995047177,200000,0,0,0,0,0,0,0,0,3039,41884,125237,27819,2021,0,0,0,0,0,0,0,0.7178831205073779,0.4024745150238162,200000,47106,2115,1539,1373,1463,1864,2410,3914,8835,129381,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
hamilton_ppo,event,4.0,14230,0.0939564300773014,1.7659072202209054,1.5509630985708407,3.316870318791752,0.0843394949146623,0.1092111850020869,0.1935506799167504,-3.2510189739985944,3.491575648288536,14230,0,0,0,0,0,0,40,563,2507,7731,3389,0,0,0,0,0,0,0,0,0,0.6672293365307044,0.4693647953712487,14230,4657,65,24,7,6,3,4,1,1,9462,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
return_mlp_ppo,fixed,0.0,200000,0.01692,0.5820675420431408,1.840736371591932,2.4228039136350485,0.4321410990540655,0.0637677026505473,0.49590880170463,26.45761,18.501676493980217,200000,0,0,0,0,0,0,0,0,0,3639,27939,18832,14966,14102,16297,15133,15159,17294,18439,38200,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
return_mlp_ppo,event,0.0,14230,0.0809557273366127,1.6780985906372,1.6562005534999622,3.334299144137146,0.0821847242597835,0.0848220354314815,0.1670067596912648,-1.2677442023893184,2.72870139173109,14230,0,0,0,0,0,0,0,28,1238,6530,6364,70,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
return_mlp_ppo,fixed,1.0,200000,0.007645,1.4571673873837214,1.569197802919508,3.026365190303161,0.1226965926829813,0.0986451891731044,0.2213417818560883,1.879685,2.35246451636895,200000,0,0,0,0,0,0,0,0,880,25929,148236,24879,76,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
return_mlp_ppo,event,1.0,14230,0.0957132817990161,1.542213908355019,1.7976501395321085,3.339864047887112,0.1153024058079429,0.0772846982617008,0.1925871040696448,2.3278285312719604,3.0429079544917603,14230,0,0,0,0,0,0,0,0,129,1853,8995,3055,195,3,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
return_mlp_ppo,fixed,2.0,200000,0.006635,1.4941491125156428,1.7084785689019777,3.202627681417702,0.1072043338458344,0.0879240166292704,0.1951283504750993,3.234685,2.2399973104392337,200000,0,0,0,0,0,0,0,0,0,4629,143788,50384,1199,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
return_mlp_ppo,event,2.0,14230,0.0619817287420941,1.9723560224257817,1.8933576392541585,3.865713661679941,0.0674516518083118,0.0614226093229331,0.1288742611312447,-0.3275474349964863,3.946322032343183,14230,0,0,0,0,0,0,15,192,1197,4623,6780,1348,75,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
return_mlp_ppo,fixed,3.0,200000,0.00653,1.4878010115701108,1.6603151986110665,3.1481162101811853,0.107680632701824,0.083165858910823,0.1908464916126424,1.85975,3.941129271858512,200000,0,0,0,0,0,0,0,0,7579,35638,114609,34312,7085,777,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
return_mlp_ppo,event,3.0,14230,0.1040056219255094,1.5454492037248295,1.4961875591836613,3.041636762908474,0.106492243573253,0.1067308717665276,0.2132231153397791,-0.5377371749824315,3.540164436877037,14230,0,0,0,0,0,0,12,93,1189,4995,7304,597,40,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
return_mlp_ppo,fixed,4.0,200000,0.00577,1.7382722904464618,1.7468028206902122,3.4850751111367373,0.074460060356572,0.0894982306574932,0.1639582910140618,-0.635785,5.838412663881767,200000,0,0,0,213,695,2246,4795,5954,13126,40665,107928,24223,155,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
return_mlp_ppo,event,4.0,14230,0.0619114546732255,1.674983270404975,2.122530510320064,3.797513780725061,0.0828942189307892,0.042565881685942,0.1254601006167319,2.041742796907941,3.41232115775624,14230,0,0,0,0,0,0,0,0,0,2867,8572,2201,563,27,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
return_lstm_ppo,fixed,0.0,200000,0.026815,0.2833571491901112,1.4249759910721818,1.7083331402623072,0.659911807687349,0.1179886160381945,0.7779004237255311,40.39806,23.59395300148748,200000,0,0,0,0,0,0,0,0,0,186,11222,13917,12120,11182,11202,12490,11532,11500,12408,92241,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
return_lstm_ppo,event,0.0,14230,0.0667603654251581,1.88198301386226,1.6885937196426983,3.570576733504942,0.0596084346326119,0.0796228183886043,0.1392312530212164,-1.9177793394237528,3.4667763740638216,14230,0,0,0,0,0,0,0,250,1727,6755,5293,205,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
return_lstm_ppo,fixed,1.0,200000,0.008215,1.1826591854508808,1.7755238975819247,2.958183083032834,0.1697074725450939,0.0697305754622865,0.2394380480073747,6.96363,5.663626684651805,200000,0,0,0,0,0,0,0,0,411,8939,66250,62598,40019,17827,3315,641,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.4998750000010259,0.2886751255614235,200000,20000,20000,20000,20000,20000,20000,20050,19950,20050,19950
return_lstm_ppo,event,1.0,14230,0.071539002108222,1.515465840925116,2.1041635849021847,3.619629425827313,0.1031639935817863,0.0436411159777151,0.1468051095595011,4.023822909346452,3.8553877027194687,14230,0,0,0,0,0,0,0,0,0,894,7775,4259,1154,130,18,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5007736482055443,0.2881508208247338,14230,1382,1424,1481,1397,1406,1388,1475,1433,1425,1419
