init_seed,epoch,train_mse,val_mse
0,0,0.011215781852317534,0.00014689388626720756
0,1,0.00016374625387412763,0.0001154764904640615
0,2,0.00012976408872842067,0.00010147361172130331
0,3,0.00011564275937879546,8.940029510995373e-05
0,4,0.00010209070587148516,7.931322033982724e-05
0,5,9.010392509946008e-05,6.959904567338526e-05
0,6,7.955734815336686e-05,5.9800011513289064e-05
0,7,7.01381472474272e-05,5.161545777809806e-05
0,8,6.204507351544883e-05,4.566448842524551e-05
0,9,5.5026215330700276e-05,3.876494156429544e-05
0,10,4.9258697525743404e-05,3.592368739191443e-05
0,11,4.491228411908947e-05,3.489699156489223e-05
0,12,4.122330503197006e-05,3.082395051023923e-05
0,13,3.786911633691451e-05,2.4673499865457416e-05
0,14,3.5120678944425796e-05,2.2623253244091757e-05
0,15,3.333436318261257e-05,2.1279905922710896e-05
0,16,3.1430225220958185e-05,2.1828180251759477e-05
0,17,3.0229999876238133e-05,2.0415101971593685e-05
0,18,2.9414855529736037e-05,1.8490445654606447e-05
0,19,2.822686710260041e-05,1.8832244677469134e-05
0,20,2.7123244305120744e-05,1.6968460840871558e-05
0,21,2.6950392742416047e-05,1.8332690160605125e-05
0,22,2.5689563488335332e-05,1.6515034076292068e-05
0,23,2.502053946912002e-05,1.531753696326632e-05
0,24,2.3950300775092382e-05,1.4734689102624543e-05
0,25,2.279715588912277e-05,1.5459960195585154e-05
0,26,2.1860739116114304e-05,1.3436816516332328e-05
0,27,2.134724763207934e-05,1.3950183529232163e-05
0,28,2.1187578697538988e-05,1.239570883626584e-05
0,29,1.893440265112058e-05,1.1890334462805185e-05
0,30,1.913284211386865e-05,1.1386877304175869e-05
0,31,1.731475070912449e-05,1.0533251042943448e-05
0,32,1.5735396285501943e-05,1.0209694664808922e-05
0,33,1.4708473887731884e-05,9.847190085565671e-06
0,34,1.3658422472139986e-05,8.932618584367447e-06
0,35,1.324190345552486e-05,8.53937763167778e-06
0,36,1.2462239662966949e-05,8.057639206526801e-06
0,37,1.2051384087251928e-05,7.752815690764692e-06
0,38,1.1378070946247993e-05,9.728329132485669e-06
0,39,1.1403278081070289e-05,1.0570537597232033e-05
0,40,1.114484037839529e-05,7.704931704211049e-06
0,41,1.0427093606147192e-05,8.006742064026184e-06
0,42,1.0725668480356518e-05,6.941309038666077e-06
0,43,1.0533274005318113e-05,6.651108378719073e-06
0,44,1.0044558632726348e-05,8.020306268008426e-06
0,45,9.497639389782477e-06,1.3754222891293466e-05
0,46,9.646182595840929e-06,6.39341669739224e-06
0,47,1.0156481298324208e-05,7.506519068556372e-06
0,48,9.217099878972446e-06,5.774187229690142e-06
0,49,8.808938996279684e-06,6.423124887078302e-06
0,50,8.738005385403944e-06,6.382961146300659e-06
0,51,9.627064201318181e-06,1.0553213542152662e-05
0,52,9.042275683773957e-06,7.139549779822119e-06
0,53,9.51758032030061e-06,5.178667379368562e-06
0,54,8.686758475012456e-06,6.0201118685654365e-06
0,55,8.308149216309814e-06,5.022473942517536e-06
0,56,9.064539051643126e-06,6.3332636273116805e-06
0,57,8.076765549686042e-06,8.501468983013183e-06
0,58,7.353926482347856e-06,4.8281967792718206e-06
0,59,7.328975711035768e-06,1.3176542779547162e-05
0,60,9.045023535563012e-06,1.0996285709552467e-05
0,61,8.044806771527054e-06,6.005593149893684e-06
0,62,7.93513533154258e-06,4.796987013833132e-06
0,63,7.4214433766232015e-06,5.1849269766535144e-06
0,64,1.0908528577362477e-05,4.598044142767321e-06
0,65,7.080956984884868e-06,5.377050456445431e-06
0,66,9.679979118125702e-06,4.8987749323714525e-06
0,67,9.133201234462005e-06,7.787212780385744e-06
0,68,7.984860364390842e-06,4.34729918197263e-06
0,69,7.027894060385445e-06,5.909053470531944e-06
0,70,6.714257361169245e-06,4.160579464951297e-06
0,71,6.882384416930975e-06,3.702039975905791e-06
0,72,7.77686554660583e-06,4.673256171372486e-06
0,73,6.689234302356353e-06,6.1899850152258296e-06
0,74,7.688981045688288e-06,4.782633368449751e-06
0,75,1.0081905091470852e-05,1.9193019397789612e-05
0,76,6.652194339026439e-06,5.685909854946658e-06
0,77,7.88991898703379e-06,1.0935654245258775e-05
0,78,7.82386537791131e-06,1.3024153304286301e-05
0,79,7.477362206725633e-06,3.2907037166296504e-06
1,0,0.012974138156626878,0.00013750497600995004
1,1,0.0001778540803027642,0.00011750442354241386
1,2,0.00013548734695393433,0.00010324373579351231
1,3,0.00011737198111194765,8.696848817635328e-05
1,4,0.000100925288866382,7.361323514487594e-05
1,5,8.634485967662753e-05,6.481159653048962e-05
1,6,7.366229732805084e-05,5.416457133833319e-05
1,7,6.262992759888744e-05,4.451049608178437e-05
1,8,5.350879141016596e-05,4.289876960683614e-05
1,9,4.66217928206937e-05,3.32276540575549e-05
1,10,4.1408715543080625e-05,2.8870666938018985e-05
1,11,3.6976557106644176e-05,2.607016358524561e-05
1,12,3.40086669325834e-05,2.405845771136228e-05
1,13,3.1830082163842616e-05,2.1846748495590873e-05
1,14,3.009448903674629e-05,2.0741523258038796e-05
1,15,2.8720264960161934e-05,2.0100997062399983e-05
1,16,2.7591383513262442e-05,1.913748747028876e-05
1,17,2.643991277609523e-05,1.8036802430287935e-05
1,18,2.5899109406511625e-05,1.7825033864937723e-05
1,19,2.5209917209083622e-05,1.8020105926552787e-05
1,20,2.4170921174517468e-05,1.7570962882018648e-05
1,21,2.3759388286773876e-05,1.609479295439087e-05
1,22,2.297957539712314e-05,1.6015221262932755e-05
1,23,2.2456722817814937e-05,1.454874382034177e-05
1,24,2.1899999339719996e-05,1.546443127153907e-05
1,25,2.144795370068533e-05,1.6072619473561645e-05
1,26,2.1235326997257392e-05,1.481586787122069e-05
1,27,2.0584490546597495e-05,1.5415356756420806e-05
1,28,1.994913131367696e-05,1.2807996427000035e-05
1,29,1.9230592673692374e-05,1.2050075383740477e-05
1,30,1.885982214291531e-05,1.241107293026289e-05
1,31,1.8406778547750933e-05,1.277299816138111e-05
1,32,1.810318910604179e-05,1.1275773431407288e-05
1,33,1.758209618222123e-05,1.094541948987171e-05
1,34,1.7000734278237466e-05,1.2252629858267028e-05
1,35,1.6580645347212837e-05,1.0352230674470775e-05
1,36,1.581341305882814e-05,1.2162515304225963e-05
1,37,1.5840338907789494e-05,1.0119521903106943e-05
1,38,1.4803924298873517e-05,9.617208888812456e-06
1,39,1.4609469876448531e-05,9.12365248950664e-06
1,40,1.406252433587754e-05,1.1615945368248504e-05
1,41,1.330578848756399e-05,7.956440640555229e-06
1,42,1.2130516460198888e-05,7.418625500577036e-06
1,43,1.1493191079719565e-05,6.908516297698952e-06
1,44,1.1474199701909518e-05,7.495943918911507e-06
1,45,1.0426523685313557e-05,7.241242201416753e-06
1,46,1.0888163252382985e-05,7.319764335989021e-06
1,47,9.548732568422184e-06,6.880253295094008e-06
1,48,9.637787741763905e-06,6.285630661295727e-06
1,49,9.154029211274598e-06,5.349457751435693e-06
1,50,9.449256626232807e-06,5.352216248866171e-06
1,51,9.162616424427669e-06,1.0196426046604756e-05
1,52,8.983859607077932e-06,6.79643699186272e-06
1,53,7.365464509361349e-06,6.709606623189757e-06
1,54,8.291632162685374e-06,5.18312390340725e-06
1,55,7.353593385601083e-06,4.608940798789263e-06
1,56,8.806479797405233e-06,4.382678071124246e-06
1,57,8.549411566433583e-06,5.328019597072853e-06
1,58,7.584943385229434e-06,6.682038019789616e-06
1,59,8.172741118593072e-06,8.171362424036488e-06
1,60,6.483631961485873e-06,3.414285856706556e-06
1,61,7.4099475554842045e-06,4.346778951003216e-06
1,62,6.7391387200305265e-06,8.687798981554806e-06
1,63,7.926881707941028e-06,3.435998678469332e-06
1,64,8.461963346912386e-06,5.148468517290894e-06
1,65,6.292945654083652e-06,6.842804396001156e-06
1,66,7.973597267328378e-06,1.4507824744214304e-05
1,67,9.518202293990401e-06,3.331571861053817e-06
1,68,5.271642563472281e-06,2.736956730586826e-06
1,69,6.223388863734667e-06,3.2573234420851804e-06
1,70,7.037727359560731e-06,9.70022756519029e-06
1,71,6.393055221012561e-06,3.070399770876975e-06
1,72,6.2569048618320565e-06,5.883198809897294e-06
1,73,5.137182421400814e-06,5.475160833157133e-06
1,74,8.914622314447361e-06,1.014083045447478e-05
1,75,7.392442016501859e-06,4.8322385737264995e-06
1,76,8.150039625934573e-06,2.6570692170935217e-06
1,77,4.5685412666567436e-06,3.928927526430925e-06
1,78,6.359651801764494e-06,4.836316747969249e-06
1,79,8.387493307168053e-06,2.8066287995898165e-06
2,0,0.015883111466939978,0.00022999248176347464
2,1,0.00016419063461989232,0.00010123348329216242
2,2,0.0001253089844325586,9.092588879866526e-05
2,3,0.0001126257865093304,8.109412738122046e-05
2,4,0.00010023815124530634,7.30055762687698e-05
2,5,8.928909840076135e-05,6.411575304809958e-05
2,6,7.967847430721023e-05,5.747711838921532e-05
2,7,7.078664736821491e-05,5.0749917136272416e-05
2,8,6.367000336118884e-05,4.5255947043187916e-05
2,9,5.748412787678685e-05,4.359746890258975e-05
2,10,5.252633093908784e-05,3.910720261046663e-05
2,11,4.7708060076023527e-05,3.4141845389967784e-05
2,12,4.440653382993373e-05,3.325793659314513e-05
2,13,4.0946845287042575e-05,2.784552452794742e-05
2,14,3.86687461999156e-05,2.656202923390083e-05
2,15,3.627894401704677e-05,2.622838474053424e-05
2,16,3.504274822547759e-05,2.459411734889727e-05
2,17,3.301861698784999e-05,2.259392749692779e-05
2,18,3.134221130908146e-05,2.2596001144847833e-05
2,19,3.0041793059986614e-05,2.0066659999429248e-05
2,20,2.901076559230651e-05,1.8562803234090097e-05
2,21,2.8128354295276757e-05,2.098568256769795e-05
2,22,2.7869829254861695e-05,1.8856228052754886e-05
2,23,2.6556601757154137e-05,1.9683591744978912e-05
2,24,2.6517698098342263e-05,1.6300962670356967e-05
2,25,2.4992129273046038e-05,1.5842830180190504e-05
2,26,2.3771591651663416e-05,1.5779251043568365e-05
2,27,2.439415163858389e-05,1.5196916137938388e-05
2,28,2.295759998571185e-05,1.4298871064966079e-05
2,29,2.2270197469258334e-05,1.3321426195034292e-05
2,30,2.2246853067284137e-05,1.3612519069283735e-05
