group,learner_seed,status,start_time,finish_time,duration_seconds,clone_verification_max_abs_diff,selected_timestep,selected_det_mean_objective,offline_best_hash
A,0,completed,2026-07-28T15:56:03,2026-07-28T16:07:19,675.8965511322021,,48000,32.61622976066655,04098f0d32925f6f70b4720e78ad49625871671d74a85fb86b1d78b581f81f80
A,1,completed,2026-07-28T16:07:20,2026-07-28T16:17:20,599.5695202350616,,16000,32.948604211683545,3e3824dcf6a51cf74e9200e5b05e3027ff24e3d56e56996988611f1149a99371
A,2,completed,2026-07-28T16:17:23,2026-07-28T16:27:11,587.8830687999725,,128000,35.225412214783695,5beb636c60d786154f6ed2fe5abef2dfc7881ec620afca1d4e3ee30da292ffa3
A,3,completed,2026-07-28T16:27:12,2026-07-28T16:38:16,664.3025534152985,,48000,33.086494872320294,60983c0ff550228603d4237b9420f3276f74b79f9f52bde2531d932b48f2d90d
A,4,completed,2026-07-28T16:38:17,2026-07-28T16:47:10,532.8612351417542,,144000,34.39909436195121,40318dc262af7a9f8d0690affb658ff79c33ef93d4e1ef853f6e6e146587adcf
B,0,completed,2026-07-28T16:47:11,2026-07-28T16:55:57,526.5939600467682,,16000,34.1812831555812,bb5614cf354e6a75bf109a9530f43bffeecf337ea26462d323d0972b95eced77
B,1,completed,2026-07-28T16:55:58,2026-07-28T17:04:44,526.0661005973816,,80000,34.43530909859443,2d733a8538c55883a7582b41540b1c7b85cece007a8fab5d1e4eb5a1e5016444
B,2,completed,2026-07-28T17:04:44,2026-07-28T17:13:45,540.1711919307709,,192000,38.03086518389207,4a38c42bf028a96f36c16e90a546e71da47fbbadb213465d3b723d8fcf4634d6
B,3,completed,2026-07-28T17:13:45,2026-07-28T17:24:46,660.3316555023193,,176000,34.373598857692684,f4eb4f8a2f51b0ac85189ade29dc93e0fe81cde5bbb8131e33656a916589f23d
B,4,completed,2026-07-28T17:24:47,2026-07-28T17:36:30,703.1806561946869,,48000,35.20384568108245,734d6448f84f3e96cd8cdc430f04fae056c1f7d0d1ab6ba5fb2238bba6dd27d7
C,0,completed,2026-07-28T17:36:32,2026-07-28T17:47:49,676.9513921737671,4.172325134277344e-07,16000,40.334939950374,e5a9971821f2f7020cc8476b092d1489485edd60ff7a7d7e7ef900079280aeb9
C,1,completed,2026-07-28T17:47:50,2026-07-28T17:57:00,550.3513495922089,4.172325134277344e-07,16000,44.28843130184466,90a09dc2b1f7647aec74b755b2551e672a9f9b7cf4fd7c1baf150d7ab5155ebe
C,2,completed,2026-07-28T17:57:01,2026-07-28T18:06:10,549.1513342857361,4.172325134277344e-07,16000,48.826253882230674,efb394d86eefa836b71019b14016a21d80a2dd5a09a630d5d71ef668cbb0a830
C,3,completed,2026-07-28T18:06:10,2026-07-28T18:15:17,546.56986784935,4.172325134277344e-07,16000,38.83013033676729,6852e640ff1abf56c5cbd0df307a54e79ad941532362db5290d64d461054001b
C,4,completed,2026-07-28T18:15:18,2026-07-28T18:24:51,573.6843178272247,4.172325134277344e-07,32000,40.87269835535984,2a4191a261eb42755fa104dc5b712478d8f0aaaf0bd341580bcc3424f9f99bf7
D,0,completed,2026-07-28T18:24:52,2026-07-28T18:34:46,593.6351118087769,4.172325134277344e-07,96000,48.909311303472215,e06ba5af0bb5375049e41d0cbf10b2685ecf432853c9b39261e99768e553b99d
D,1,completed,2026-07-28T18:34:46,2026-07-28T18:44:36,589.6161179542542,4.172325134277344e-07,144000,47.46163012863012,2b346b028e12aafed422c7c4df07754d423697ef35d0897137891351db913a42
D,2,completed,2026-07-28T18:44:37,2026-07-28T18:54:25,587.7600030899048,4.172325134277344e-07,96000,47.98940690730507,da6f927901ac6c5c494114c719477d9df17e4d2cd33e5a9ee584de07b253902f
D,3,completed,2026-07-28T18:54:25,2026-07-28T19:04:06,580.0449483394623,4.172325134277344e-07,144000,46.15347689465417,2c1c7e70bf27d7eea51c45ca9da026df621fd3261b82ea27a415e870ffde5e08
D,4,completed,2026-07-28T19:04:06,2026-07-28T19:14:19,612.9183647632599,4.172325134277344e-07,48000,48.4323265401621,747d0b17b29934b5a80cf5eb122e39aceb20287d642be354924f2fd0eec0779e
