group,learner_seed,n_holdout_episodes,mean_full_objective,episode_sd,se,mean_raw_pnl,loss_rate,mean_quoted_spread,median_quoted_spread,mean_fills,mean_abs_inventory,mean_signed_inventory,mean_terminal_abs_inventory,mean_terminal_signed_inventory,mean_running_penalty,mean_terminal_penalty,mean_adverse_selection_loss,mean_return_on_turnover_pct,selected_checkpoint_timestep,validation_objective,validation_to_holdout_diff,final_log_std_bid,final_log_std_ask,action_saturation_rate
A,0,200,29.704019584339242,34.518576866437115,2.440831977916677,29.862628404656405,0.135,3.5298956963606853,3.533020955204461,20.38,2.6862437152498857,-1.416578369551258,4.31,-2.31,0.1306288203171633,0.02798,6.5839725908147075,1.4495213355889678,48000,32.61622976066655,2.9122101763273065,-0.0642447397112846,-0.0584387704730033,0.0
A,1,200,35.92303385179997,44.59657778583585,3.1534542570077875,36.15083560270846,0.1,2.9817170402038573,2.9780484116640853,30.23,3.263245703939244,-2.1560943061719042,4.87,-3.32,0.19099175090848775,0.03681,9.818099137035956,1.202511493097173,16000,32.948604211683545,-2.9744296401164263,-0.0132267866283655,-0.0042140963487327,0.0
A,2,200,32.80037207678635,124.75268231043721,8.82134676329212,34.7690909194477,0.31,2.8577959383674454,2.861744787442653,40.815,11.11411938799034,-11.105908549633664,16.545,-16.545,1.66303384266135,0.305685,12.410887280111224,0.9558579104068269,128000,35.225412214783695,2.4250401379973425,-0.0815187692642211,-0.0969103649258613,0.0
A,3,200,30.56273823896855,43.18133319463038,3.0533813522598905,30.782194391780248,0.15,3.3885506235957816,3.385143476763953,22.99,3.1662274141142457,-2.6247583596119766,4.98,-4.34,0.18182615281170128,0.03763,7.895093836148857,1.3213718509645433,48000,33.086494872320294,2.523756633351745,-0.063830129802227,-0.0204725619405508,0.0
A,4,200,32.64781607983105,133.49579023250487,9.439577853326107,34.844528064299894,0.3,2.7948088227751384,2.79241800700178,41.42,10.816298694050897,-10.769192479906001,18.9,-18.9,1.7801619844688474,0.41655000000000003,12.133538586725335,0.9462682438082566,144000,34.39909436195121,1.751278282120154,-0.0771137699484825,-0.1196718886494636,0.0
B,0,200,35.340882249386226,41.76285767429768,2.9530799863224533,35.56584563912267,0.14,3.0247679724405323,3.026137533360077,29.105,3.1704088719248102,0.31463522681152833,5.095,0.955,0.18376838973644155,0.041195,9.862275079282622,1.2345527023772878,16000,34.1812831555812,-1.1595990938050278,-1.5197045803070068,-1.49713134765625,0.0
B,1,200,36.732631430401256,36.34699914378374,2.570120957035112,36.916001468408616,0.09,2.9800814541890372,2.9781540937396818,29.855,2.910741995845905,-0.6990853138019915,4.375,-1.255,0.1527250380073614,0.030645000000000006,10.211659559959996,1.2449494184534047,80000,34.43530909859443,-2.297322331806825,-1.551543354988098,-1.573150873184204,0.0
B,2,200,35.631573483226695,51.50701170493239,3.6420957255212567,35.98643529418567,0.13,2.849571735995349,2.832158161819856,33.635,3.906431662490748,-2.812241183148545,6.555,-5.165,0.2878768109589729,0.06698500000000002,11.828704806860882,1.0849291259879126,192000,38.03086518389207,2.3992917006653727,-1.606190800666809,-1.556804656982422,0.0
B,3,200,36.453957254984346,56.65248567724651,4.005935679345477,36.8455257916665,0.155,2.8570546584768874,2.8485351206103986,33.37,4.272471710112147,-3.3689628368631555,6.49,-5.38,0.3242585366821577,0.06731,11.54679039103027,1.1260044951513435,176000,34.373598857692684,-2.0803583972916613,-1.6114099025726318,-1.5932059288024902,0.0
B,4,200,36.56269906084605,36.95142074717898,2.6128600184807538,36.7543712372308,0.125,3.0190587115908825,3.020367807333073,29.265,3.001814310702347,0.5447273233689276,4.565,0.695,0.15879717638474208,0.03287500000000001,10.071392554952823,1.2554813192014063,48000,35.20384568108245,-1.3588533797636018,-1.5371252298355105,-1.5046658515930176,0.0
