epsilon,episode,policy,raw_pnl,full_objective,mean_absolute_inventory,terminal_absolute_inventory,steps_taken,raw_pnl_pct,full_objective_pct
0.5,0,oracle,-65.92111242907197,-66.41256992907195,5.19475,10.0,4000,-0.006592111242907197,-0.006641256992907196
0.5,0,belief,-67.65069554765864,-68.14218804765862,5.19525,10.0,4000,-0.006765069554765865,-0.006814218804765862
0.5,0,randomised,-77.51974422990963,-78.02474922990962,5.358,10.0,4000,-0.0077519744229909635,-0.007802474922990961
0.5,0,naive,-150.91041936268016,-152.64010936268016,9.3985,18.0,4000,-0.015091041936268016,-0.015264010936268016
0.5,1,oracle,9.335888089827478,9.25320308982748,2.1605,2.0,4000,0.0009335888089827477,0.0009253203089827479
0.5,1,belief,2.442175341181837,2.3481653411818404,2.314,3.0,4000,0.00024421753411818373,0.00023481653411818403
0.5,1,randomised,5.103187464956136,5.024922464956138,2.077,3.0,4000,0.0005103187464956135,0.0005024922464956137
0.5,1,naive,6.979515127898139,6.867192627898141,2.01475,6.0,4000,0.000697951512789814,0.0006867192627898141
0.5,2,oracle,43.838523661359545,43.556933661359544,3.0935,9.0,4000,0.004383852366135955,0.004355693366135955
0.5,2,belief,45.631517418071894,45.34262991807189,3.17225,9.0,4000,0.004563151741807189,0.004534262991807189
0.5,2,randomised,48.21472937689316,47.87151187689316,3.67875,9.0,4000,0.004821472937689316,0.004787151187689315
0.5,2,naive,43.57685886169338,43.460508861693384,2.698,3.0,4000,0.004357685886169338,0.004346050886169338
0.5,3,oracle,9.750804237177476,9.677544237177473,2.1355,3.0,4000,0.0009750804237177477,0.0009677544237177474
0.5,3,belief,11.214025715692543,11.156685715692538,1.992,2.0,4000,0.0011214025715692542,0.0011156685715692537
0.5,3,randomised,10.263645479219406,10.158032979219405,2.60975,4.0,4000,0.0010263645479219406,0.0010158032979219404
0.5,3,naive,9.97232987061544,9.906822370615435,1.93925,0.0,4000,0.0009972329870615439,0.0009906822370615437
0.5,4,oracle,6.1449212220800575,6.077838722080057,2.06425,2.0,4000,0.0006144921222080058,0.0006077838722080057
0.5,4,belief,-22.323171994900576,-22.750976994900572,5.1075,8.0,4000,-0.002232317199490058,-0.0022750976994900573
0.5,4,randomised,-6.072554399450382,-6.301284399450378,3.899,5.0,4000,-0.0006072554399450382,-0.0006301284399450378
