n_episodes,mean_cumulative_reward,std_cumulative_reward,mean_raw_pnl,mean_terminal_abs_inventory,action_mean_bid,action_mean_ask,action_std_bid,action_std_ask,total_timesteps,tag,learner_seed,training_env_seed
10,44.86740305372206,22.626820537148014,45.02088855372261,3.5,0.00025467692553623496,-0.0007734764832865594,0.0012744517844994645,0.0005185440776451126,0,baseline_untrained,3,70000
10,47.16061610366435,20.293892670287462,47.2825353536655,3.4,0.07283658784779254,0.053311751538816315,0.03532178170238289,0.041742248137362534,16000,timestep_16000,3,70000
10,45.37535541864689,18.418668697905616,45.4999064186477,3.9,-0.025870380460727028,0.07624089677222073,0.03466498433720278,0.03594297843231054,32000,timestep_32000,3,70000
10,48.151018520133654,18.337146546700904,48.244038020134965,2.6,0.06538142108304892,0.05210370981184533,0.09676323135042487,0.0644286966077517,48000,timestep_48000,3,70000
10,46.451978933543884,16.738117047356273,46.53510018354508,3.3,0.03314357096866879,0.049753429706572205,0.16543961796052478,0.06907259452951177,64000,timestep_64000,3,70000
10,40.28251376972792,18.90778334082311,40.45789526972816,5.3,0.08137083548359224,0.2339515726067475,0.16439540894042715,0.13234793250187407,80000,timestep_80000,3,70000
10,45.35703707596919,21.802570380435476,45.46060382596973,3.6,0.12268008819151145,0.11225876643208321,0.20533520810120903,0.120430819667467,96000,timestep_96000,3,70000
10,35.85138308189126,22.37496017830869,35.930470081891634,3.5,0.26227630349517567,0.2191002904516645,0.27209143838431943,0.18515789921093545,112000,timestep_112000,3,70000
10,30.804395408597514,20.72600988535213,30.876549658597433,3.9,0.2917716513461084,0.29873735335483215,0.2937485349743574,0.24843168298909446,128000,timestep_128000,3,70000
10,26.65411818276426,18.22497482034813,26.75448568276436,4.5,0.3014205948757706,0.4158533889327664,0.2846688912499433,0.22868833598377197,144000,timestep_144000,3,70000
10,21.463370601535235,19.708095555077904,21.62856835153541,5.7,0.3054093512414955,0.6167036794346291,0.25783642575810756,0.24664631499460835,160000,timestep_160000,3,70000
10,21.119368244718252,20.528604500109182,21.290308244718375,5.7,0.24923065393264404,0.574404990352178,0.20682953481846358,0.2764872970962582,176000,timestep_176000,3,70000
10,21.80644745691642,17.985993922493684,21.914099706916296,4.4,0.30193792789968427,0.5982448691075668,0.2205777793243176,0.27757645165954536,192000,timestep_192000,3,70000
10,20.986972301837387,17.04571944098993,21.07481905183733,3.9,0.32006672751867443,0.607518687372515,0.23616434706942685,0.2983555138362525,200000,final_post_training,3,70000
